term,cleaned_pinyin,updated_pinyin,status
牢,láo,láo,no_split
秦,qín,qín,no_split
欠,qiàn,qiàn,no_split
鼠,shǔ,shǔ,no_split
番,fān,fān,no_split
亏,kuī,kuī,no_split
浙,zhè,zhè,no_split
棒,bàng,bàng,no_split
渡,dù,dù,no_split
殖,zhí,zhí,no_split
塑,sù,sù,no_split
郭,guō,guō,no_split
械,xiè,xiè,no_split
宪,xiàn,xiàn,no_split
叹,tàn,tàn,no_split
挤,jǐ,jǐ,no_split
拼,pīn,pīn,no_split
紫,zǐ,zǐ,no_split
躲,duǒ,duǒ,no_split
驾,jià,jià,no_split
晴,qíng,qíng,no_split
喂,wéi,wéi,no_split
喂,wèi,wèi,no_split
允,yǔn,yǔn,no_split
焦,jiāo,jiāo,no_split
桑,sāng,sāng,no_split
锅,guō,guō,no_split
胖,pán,pán,no_split
胖,pàng,pàng,no_split
炎,yán,yán,no_split
肃,sù,sù,no_split
崇,chóng,chóng,no_split
钻,zuān,zuān,no_split
钻,zuàn,zuàn,no_split
枝,zhī,zhī,no_split
佩,pèi,pèi,no_split
朵,duǒ,duǒ,no_split
廉,lián,lián,no_split
忧,yōu,yōu,no_split
厌,yàn,yàn,no_split
凤,fèng,fèng,no_split
籍,jí,jí,no_split
俱,jù,jù,no_split
赚,zhuàn,zhuàn,no_split
赚,zuàn,zuàn,no_split
沃,wò,wò,no_split
棋,qí,qí,no_split
仙,xiān,xiān,no_split
跌,diē,diē,no_split
嘉,jiā,jiā,no_split
飘,piāo,piāo,no_split
旋,xuàn,xuàn,no_split
旋,xuán,xuán,no_split
炮,bāo,bāo,no_split
炮,pào,pào,no_split
炮,páo,páo,no_split
戒,jiè,jiè,no_split
郎,láng,láng,no_split
碍,ài,ài,no_split
截,jié,jié,no_split
芳,fāng,fāng,no_split
晶,jīng,jīng,no_split
恰,qià,qià,no_split
涛,tāo,tāo,no_split
慰,wèi,wèi,no_split
瘦,shòu,shòu,no_split
娃,wá,wá,no_split
迁,qiān,qiān,no_split
刷,shuà,shuà,no_split
刷,shuā,shuā,no_split
蹈,dǎo,dǎo,no_split
岩,yán,yán,no_split
柔,róu,róu,no_split
凝,níng,níng,no_split
祥,xiáng,xiáng,no_split
仰,yǎng,yǎng,no_split
尺,chě,chě,no_split
尺,chǐ,chǐ,no_split
阔,kuò,kuò,no_split
碗,wǎn,wǎn,no_split
遵,zūn,zūn,no_split
荷,hé,hé,no_split
荷,hè,hè,no_split
堡,bǎo,bǎo,no_split
堡,bǔ,bǔ,no_split
柳,liǔ,liǔ,no_split
悄,qiǎo,qiǎo,no_split
慧,huì,huì,no_split
扔,rēng,rēng,no_split
伏,fú,fú,no_split
撤,chè,chè,no_split
愈,yù,yù,no_split
怜,lián,lián,no_split
勃,bó,bó,no_split
踏,tà,tà,no_split
踏,tā,tā,no_split
埋,mái,mái,no_split
埋,mán,mán,no_split
淘,táo,táo,no_split
狼,láng,láng,no_split
燕,yàn,yàn,no_split
燕,yān,yān,no_split
轨,guǐ,guǐ,no_split
纵,zòng,zòng,no_split
咬,yǎo,yǎo,no_split
狠,hěn,hěn,no_split
尸,shī,shī,no_split
赫,hè,hè,no_split
吵,chǎo,chǎo,no_split
吵,chāo,chāo,no_split
吵,chāochao,chāochao,no_split
帕,pà,pà,no_split
盗,dào,dào,no_split
驶,shǐ,shǐ,no_split
臣,chén,chén,no_split
盒,hé,hé,no_split
夹,jiā,jiā,no_split
夹,jiá,jiá,no_split
帽,mào,mào,no_split
诊,zhěn,zhěn,no_split
疆,jiāng,jiāng,no_split
扑,pū,pū,no_split
昆,kūn,kūn,no_split
杆,gǎn,gǎn,no_split
杆,gān,gān,no_split
拳,quán,quán,no_split
挖,wā,wā,no_split
详,xiáng,xiáng,no_split
胁,xié,xié,no_split
篮,lán,lán,no_split
耕,gēng,gēng,no_split
屏,bǐng,bǐng,no_split
屏,píng,píng,no_split
桂,guì,guì,no_split
拓,tà,tà,no_split
拓,tuò,tuò,no_split
粒,lì,lì,no_split
肚,dǔ,dǔ,no_split
肚,dù,dù,no_split
嫌,xián,xián,no_split
呵,hē,hē,no_split
丧,sāng,sāng,no_split
丧,sàng,sàng,no_split
眉,méi,méi,no_split
皆,jiē,jiē,no_split
脉,mài,mài,no_split
脉,mò,mò,no_split
旺,wàng,wàng,no_split
陶,yáo,yáo,no_split
陶,táo,táo,no_split
伪,wěi,wěi,no_split
辽,liáo,liáo,no_split
敦,duì,duì,no_split
敦,dūn,dūn,no_split
爽,shuǎng,shuǎng,no_split
梯,tī,tī,no_split
膜,mó,mó,no_split
纹,wén,wén,no_split
俊,jùn,jùn,no_split
嫁,jià,jià,no_split
柱,zhù,zhù,no_split
氧,yǎng,yǎng,no_split
涂,tú,tú,no_split
纠,jiū,jiū,no_split
愤,fèn,fèn,no_split
牵,qiān,qiān,no_split
耗,hào,hào,no_split
饱,bǎo,bǎo,no_split
吻,wěn,wěn,no_split
涌,chōng,chōng,no_split
涌,yǒng,yǒng,no_split
哎,ǎi,ǎi,no_split
哎,āi,āi,no_split
哎,ài,ài,no_split
哎,ái,ái,no_split
颇,pō,pō,no_split
割,gē,gē,no_split
赤,chì,chì,no_split
怨,yuàn,yuàn,no_split
熊,xióng,xióng,no_split
闷,mèn,mèn,no_split
闷,mēn,mēn,no_split
拟,nǐ,nǐ,no_split
链,liàn,liàn,no_split
昏,hūn,hūn,no_split
循,xún,xún,no_split
枚,méi,méi,no_split
扭,niǔ,niǔ,no_split
惨,cǎn,cǎn,no_split
滋,zī,zī,no_split
敲,qiāo,qiāo,no_split
鸣,míng,míng,no_split
凌,líng,líng,no_split
乳,rǔ,rǔ,no_split
傅,fù,fù,no_split
卧,wò,wò,no_split
牲,shēng,shēng,no_split
椅,yǐ,yǐ,no_split
椅,yī,yī,no_split
菌,jùn,jùn,no_split
菌,jūn,jūn,no_split
填,tián,tián,no_split
臭,chòu,chòu,no_split
臭,xiù,xiù,no_split
邪,xié,xié,no_split
邪,yé,yé,no_split
伐,fá,fá,no_split
尿,niào,niào,no_split
肤,fū,fū,no_split
榜,bǎng,bǎng,no_split
曹,cáo,cáo,no_split
姿,zī,zī,no_split
谊,yì,yì,no_split
峡,xiá,xiá,no_split
栏,lán,lán,no_split
仓,cāng,cāng,no_split
喷,pēn,pēn,no_split
喷,pèn,pèn,no_split
弯,wān,wān,no_split
炒,chǎo,chǎo,no_split
浩,hào,hào,no_split
寿,shòu,shòu,no_split
劫,jié,jié,no_split
寺,sì,sì,no_split
灌,guàn,guàn,no_split
丑,chǒu,chǒu,no_split
绘,huì,huì,no_split
翰,hàn,hàn,no_split
巡,xún,xún,no_split
雇,gù,gù,no_split
妮,nī,nī,no_split
盯,dīng,dīng,no_split
疫,yì,yì,no_split
郁,yù,yù,no_split
琳,lín,lín,no_split
泳,yǒng,yǒng,no_split
耀,yào,yào,no_split
抛,pāo,pāo,no_split
胃,wèi,wèi,no_split
堵,dǔ,dǔ,no_split
赠,zèng,zèng,no_split
逻,luó,luó,no_split
辣,là,là,no_split
脆,cuì,cuì,no_split
仇,chóu,chóu,no_split
稀,xī,xī,no_split
剪,jiǎn,jiǎn,no_split
恒,héng,héng,no_split
掘,jué,jué,no_split
添,tiān,tiān,no_split
辖,xiá,xiá,no_split
厦,shà,shà,no_split
厦,xià,xià,no_split
扮,bàn,bàn,no_split
聘,pìn,pìn,no_split
巩,gǒng,gǒng,no_split
踢,tī,tī,no_split
尘,chén,chén,no_split
冻,dòng,dòng,no_split
御,yù,yù,no_split
肖,xiào,xiào,no_split
惑,huò,huò,no_split
乙,yǐ,yǐ,no_split
磁,cí,cí,no_split
赌,dǔ,dǔ,no_split
怖,bù,bù,no_split
劝,quàn,quàn,no_split
悦,yuè,yuè,no_split
扯,chě,chě,no_split
孕,yùn,yùn,no_split
摊,tān,tān,no_split
浅,jiān,jiān,no_split
浅,qiǎn,qiǎn,no_split
煌,huáng,huáng,no_split
霸,bà,bà,no_split
爹,diē,diē,no_split
涵,hán,hán,no_split
穆,mù,mù,no_split
削,xiāo,xiāo,no_split
削,xuē,xuē,no_split
猎,liè,liè,no_split
兽,shòu,shòu,no_split
桃,táo,táo,no_split
瑟,sè,sè,no_split
溪,xī,xī,no_split
幽,yōu,yōu,no_split
渴,kě,kě,no_split
寸,cùn,cùn,no_split
桶,tǒng,tǒng,no_split
绑,bǎng,bǎng,no_split
铃,líng,líng,no_split
饼,bǐng,bǐng,no_split
莲,lián,lián,no_split
惩,chéng,chéng,no_split
披,pī,pī,no_split
掩,yǎn,yǎn,no_split
歧,qí,qí,no_split
柜,guì,guì,no_split
柜,jǔ,jǔ,no_split
悔,huǐ,huǐ,no_split
宴,yàn,yàn,no_split
奴,nú,nú,no_split
宅,zhái,zhái,no_split
卓,zhuó,zhuó,no_split
漠,mò,mò,no_split
雕,diāo,diāo,no_split
肺,fèi,fèi,no_split
氛,fēn,fēn,no_split
霍,huò,huò,no_split
肿,zhǒng,zhǒng,no_split
蜜,mì,mì,no_split
胶,jiāo,jiāo,no_split
垂,chuí,chuí,no_split
寂,jì,jì,no_split
厨,chú,chú,no_split
阁,gé,gé,no_split
役,yì,yì,no_split
憾,hàn,hàn,no_split
拾,shè,shè,no_split
拾,shí,shí,no_split
芬,fēn,fēn,no_split
糟,zāo,zāo,no_split
吊,diào,diào,no_split
殿,diàn,diàn,no_split
旬,xún,xún,no_split
牺,xī,xī,no_split
屁,pì,pì,no_split
窝,wō,wō,no_split
吞,tūn,tūn,no_split
肌,jī,jī,no_split
兹,zī,zī,no_split
雾,wù,wù,no_split
滩,tān,tān,no_split
拆,chāi,chāi,no_split
炉,lú,lú,no_split
畅,chàng,chàng,no_split
挡,dǎng,dǎng,no_split
贾,gǔ,gǔ,no_split
愉,yú,yú,no_split
嫩,nèn,nèn,no_split
姻,yīn,yīn,no_split
挣,zhèng,zhèng,no_split
挣,zhēng,zhēng,no_split
盼,pàn,pàn,no_split
肠,cháng,cháng,no_split
兆,zhào,zhào,no_split
逢,féng,féng,no_split
仲,zhòng,zhòng,no_split
缝,féng,féng,no_split
缝,fèng,fèng,no_split
弥,mí,mí,no_split
摘,zhāi,zhāi,no_split
砸,zá,zá,no_split
胎,tāi,tāi,no_split
账,zhàng,zhàng,no_split
衷,zhōng,zhōng,no_split
遥,yáo,yáo,no_split
悠,yōu,yōu,no_split
咖,kā,kā,no_split
癌,ái,ái,no_split
泄,xiè,xiè,no_split
惧,jù,jù,no_split
荐,jiàn,jiàn,no_split
葬,zàng,zàng,no_split
欺,qī,qī,no_split
艘,sōu,sōu,no_split
艳,yàn,yàn,no_split
摔,shuāi,shuāi,no_split
柏,bǎi,bǎi,no_split
柏,bó,bó,no_split
庞,páng,páng,no_split
誓,shì,shì,no_split
辅,fǔ,fǔ,no_split
祸,huò,huò,no_split
毅,yì,yì,no_split
秩,zhì,zhì,no_split
悟,wù,wù,no_split
串,chuàn,chuàn,no_split
痴,chī,chī,no_split
渠,qú,qú,no_split
侦,zhēn,zhēn,no_split
庙,miào,miào,no_split
坑,kēng,kēng,no_split
轰,hōng,hōng,no_split
剥,bāo,bāo,no_split
剥,bō,bō,no_split
碑,bēi,bēi,no_split
夸,kuā,kuā,no_split
傲,ào,ào,no_split
盆,pén,pén,no_split
壳,qiào,qiào,no_split
绳,shéng,shéng,no_split
逮,dǎi,dǎi,no_split
逮,dài,dài,no_split
胀,zhàng,zhàng,no_split
腔,qiāng,qiāng,no_split
溜,liū,liū,no_split
溜,liù,liù,no_split
肝,gān,gān,no_split
奈,nài,nài,no_split
孟,mèng,mèng,no_split
卜,bǔ,bǔ,no_split
薪,xīn,xīn,no_split
劣,liè,liè,no_split
忌,jì,jì,no_split
茂,mào,mào,no_split
纲,gāng,gāng,no_split
朴,pò,pò,no_split
朴,pō,pō,no_split
朴,pǔ,pǔ,no_split
搏,bó,bó,no_split
稻,dào,dào,no_split
赔,péi,péi,no_split
匆,cōng,cōng,no_split
溶,róng,róng,no_split
霞,xiá,xiá,no_split
滨,bīn,bīn,no_split
逊,xùn,xùn,no_split
蔬,shū,shū,no_split
诱,yòu,yòu,no_split
舌,shé,shé,no_split
湘,xiāng,xiāng,no_split
舆,yú,yú,no_split
斜,xié,xié,no_split
恼,nǎo,nǎo,no_split
蛇,shé,shé,no_split
遣,qiǎn,qiǎn,no_split
嘿,hēi,hēi,no_split
廊,láng,láng,no_split
岭,lǐng,lǐng,no_split
催,cuī,cuī,no_split
芝,zhī,zhī,no_split
漏,lòu,lòu,no_split
仗,zhàng,zhàng,no_split
框,kuàng,kuàng,no_split
捉,zhuō,zhuō,no_split
晋,jìn,jìn,no_split
寓,yù,yù,no_split
痕,hén,hén,no_split
蠢,chǔn,chǔn,no_split
腹,fù,fù,no_split
逆,nì,nì,no_split
押,yā,yā,no_split
曰,yuē,yuē,no_split
辱,rǔ,rǔ,no_split
袖,xiù,xiù,no_split
畜,chù,chù,no_split
畜,xù,xù,no_split
笼,lǒng,lǒng,no_split
笼,lóng,lóng,no_split
墓,mù,mù,no_split
佐,zuǒ,zuǒ,no_split
谱,pǔ,pǔ,no_split
唇,chún,chún,no_split
戈,gē,gē,no_split
捷,jié,jié,no_split
沪,hù,hù,no_split
屈,qū,qū,no_split
谅,liàng,liàng,no_split
勾,gòu,gòu,no_split
勾,gōu,gōu,no_split
徽,huī,huī,no_split
鸿,hóng,hóng,no_split
兑,duì,duì,no_split
倡,chàng,chàng,no_split
倡,chāng,chāng,no_split
汁,zhī,zhī,no_split
唤,huàn,huàn,no_split
覆,fù,fù,no_split
晃,huàng,huàng,no_split
晃,huǎng,huǎng,no_split
慌,huāng,huāng,no_split
晕,yùn,yùn,no_split
晕,yūn,yūn,no_split
衰,cuī,cuī,no_split
衰,shuāi,shuāi,no_split
汪,wāng,wāng,no_split
眠,mián,mián,no_split
驱,qū,qū,no_split
膀,bǎng,bǎng,no_split
膀,pāng,pāng,no_split
膀,páng,páng,no_split
抚,fǔ,fǔ,no_split
蔡,cài,cài,no_split
谨,jǐn,jǐn,no_split
愁,chóu,chóu,no_split
惹,rě,rě,no_split
浑,hún,hún,no_split
硕,shuò,shuò,no_split
抑,yì,yì,no_split
抖,dǒu,dǒu,no_split
挨,ái,ái,no_split
挨,āi,āi,no_split
娱,yú,yú,no_split
唉,ài,ài,no_split
唉,āi,āi,no_split
撑,chēng,chēng,no_split
冯,píng,píng,no_split
慈,cí,cí,no_split
挪,nuó,nuó,no_split
姜,jiāng,jiāng,no_split
炭,tàn,tàn,no_split
渔,yú,yú,no_split
臂,bì,bì,no_split
扇,shān,shān,no_split
扇,shàn,shàn,no_split
蒸,zhēng,zhēng,no_split
衫,shān,shān,no_split
匹,pǐ,pǐ,no_split
蓄,xù,xù,no_split
羽,yǔ,yǔ,no_split
壤,rǎng,rǎng,no_split
盲,máng,máng,no_split
禽,qín,qín,no_split
俺,ǎn,ǎn,no_split
杉,shān,shān,no_split
抹,mā,mā,no_split
抹,mǒ,mǒ,no_split
抹,mò,mò,no_split
盈,yíng,yíng,no_split
爵,jué,jué,no_split
笨,bèn,bèn,no_split
叙,xù,xù,no_split
箭,jiàn,jiàn,no_split
恭,gōng,gōng,no_split
歉,qiàn,qiàn,no_split
辨,biàn,biàn,no_split
豫,yù,yù,no_split
泊,pō,pō,no_split
泊,bó,bó,no_split
缴,jiǎo,jiǎo,no_split
缴,zhuó,zhuó,no_split
慨,kǎi,kǎi,no_split
攀,pān,pān,no_split
纺,fǎng,fǎng,no_split
骄,jiāo,jiāo,no_split
亭,tíng,tíng,no_split
萧,xiāo,xiāo,no_split
浴,yù,yù,no_split
砖,zhuān,zhuān,no_split
愚,yú,yú,no_split
丛,cóng,cóng,no_split
哼,hèng,hèng,no_split
哼,hēng,hēng,no_split
杭,háng,háng,no_split
齿,chǐ,chǐ,no_split
艇,tǐng,tǐng,no_split
钦,qīn,qīn,no_split
堪,kān,kān,no_split
顽,wán,wán,no_split
哀,āi,āi,no_split
烤,kǎo,kǎo,no_split
契,qì,qì,no_split
契,xiè,xiè,no_split
叛,pàn,pàn,no_split
喻,yù,yù,no_split
峻,jùn,jùn,no_split
翼,yì,yì,no_split
悬,xuán,xuán,no_split
掏,tāo,tāo,no_split
侯,hóu,hóu,no_split
侯,hòu,hòu,no_split
岳,yuè,yuè,no_split
捧,pěng,pěng,no_split
羞,xiū,xiū,no_split
棵,kē,kē,no_split
颁,bān,bān,no_split
煮,zhǔ,zhǔ,no_split
柴,chái,chái,no_split
宙,zhòu,zhòu,no_split
苍,cāng,cāng,no_split
鲍,bào,bào,no_split
廷,tíng,tíng,no_split
旱,hàn,hàn,no_split
洒,sǎ,sǎ,no_split
赋,fù,fù,no_split
贪,tān,tān,no_split
蛮,mán,mán,no_split
鸭,yā,yā,no_split
窃,qiè,qiè,no_split
婴,yīng,yīng,no_split
汰,tài,tài,no_split
匙,chí,chí,no_split
堤,dī,dī,no_split
萌,méng,méng,no_split
疏,shū,shū,no_split
舟,zhōu,zhōu,no_split
陵,líng,líng,no_split
轿,jiào,jiào,no_split
贩,fàn,fàn,no_split
株,zhū,zhū,no_split
缠,chán,chán,no_split
斥,chì,chì,no_split
厘,lí,lí,no_split
舰,jiàn,jiàn,no_split
吾,wú,wú,no_split
吕,lǚ,lǚ,no_split
姨,yí,yí,no_split
疲,pí,pí,no_split
孝,xiào,xiào,no_split
昂,áng,áng,no_split
拦,lán,lán,no_split
陕,shǎn,shǎn,no_split
栽,zāi,zāi,no_split
栋,dòng,dòng,no_split
坎,kǎn,kǎn,no_split
滞,zhì,zhì,no_split
魏,wèi,wèi,no_split
锻,duàn,duàn,no_split
囊,náng,náng,no_split
砍,kǎn,kǎn,no_split
蓬,péng,péng,no_split
侨,qiáo,qiáo,no_split
脖,bó,bó,no_split
裕,yù,yù,no_split
夕,xī,xī,no_split
寨,zhài,zhài,no_split
萍,píng,píng,no_split
旨,zhǐ,zhǐ,no_split
淋,lìn,lìn,no_split
淋,lín,lín,no_split
拘,jū,jū,no_split
裙,qún,qún,no_split
驰,chí,chí,no_split
履,lǚ,lǚ,no_split
妥,tuǒ,tuǒ,no_split
奸,jiān,jiān,no_split
歇,xiē,xiē,no_split
酬,chóu,chóu,no_split
鹰,yīng,yīng,no_split
斑,bān,bān,no_split
滥,làn,làn,no_split
趟,tāng,tāng,no_split
趟,tàng,tàng,no_split
闯,chuǎng,chuǎng,no_split
颖,yǐng,yǐng,no_split
塘,táng,táng,no_split
卿,qīng,qīng,no_split
丘,qiū,qiū,no_split
纤,qiàn,qiàn,no_split
纤,xiān,xiān,no_split
谐,xié,xié,no_split
罕,hǎn,hǎn,no_split
巾,jīn,jīn,no_split
睁,zhēng,zhēng,no_split
虹,hóng,hóng,no_split
脂,zhī,zhī,no_split
翠,cuì,cuì,no_split
歪,wāi,wāi,no_split
碧,bì,bì,no_split
贤,xián,xián,no_split
蜂,fēng,fēng,no_split
魅,mèi,mèi,no_split
竭,jié,jié,no_split
慕,mù,mù,no_split
阐,chǎn,chǎn,no_split
葛,gé,gé,no_split
绵,mián,mián,no_split
逝,shì,shì,no_split
妆,zhuāng,zhuāng,no_split
锡,xī,xī,no_split
粘,zhān,zhān,no_split
腊,là,là,no_split
腊,xī,xī,no_split
兔,tù,tù,no_split
罩,zhào,zhào,no_split
啤,pí,pí,no_split
吁,xū,xū,no_split
吁,yù,yù,no_split
吁,yū,yū,no_split
凑,còu,còu,no_split
锐,ruì,ruì,no_split
挽,wǎn,wǎn,no_split
翔,xiáng,xiáng,no_split
筒,tǒng,tǒng,no_split
趁,chèn,chèn,no_split
隶,lì,lì,no_split
骤,zhòu,zhòu,no_split
祭,jì,jì,no_split
鹿,lù,lù,no_split
矮,ǎi,ǎi,no_split
猴,hóu,hóu,no_split
咨,zī,zī,no_split
泼,pō,pō,no_split
骚,sāo,sāo,no_split
脾,pí,pí,no_split
琼,qióng,qióng,no_split
茫,máng,máng,no_split
刮,guā,guā,no_split
庸,yōng,yōng,no_split
晰,xī,xī,no_split
函,hán,hán,no_split
糕,gāo,gāo,no_split
辟,bì,bì,no_split
辟,pì,pì,no_split
贼,zéi,zéi,no_split
晒,shài,shài,no_split
丫,yā,yā,no_split
棚,péng,péng,no_split
帖,tiè,tiè,no_split
帖,tiě,tiě,no_split
帖,tiē,tiē,no_split
钥,yào,yào,no_split
钥,yuè,yuè,no_split
弘,hóng,hóng,no_split
菊,jú,jú,no_split
巷,hàng,hàng,no_split
巷,xiàng,xiàng,no_split
乒,pīng,pīng,no_split
罐,guàn,guàn,no_split
饲,sì,sì,no_split
懒,lǎn,lǎn,no_split
颤,chàn,chàn,no_split
筋,jīn,jīn,no_split
陌,mò,mò,no_split
崔,cuī,cuī,no_split
慎,shèn,shèn,no_split
翁,wēng,wēng,no_split
喘,chuǎn,chuǎn,no_split
郊,jiāo,jiāo,no_split
韵,yùn,yùn,no_split
妨,fáng,fáng,no_split
耍,shuǎ,shuǎ,no_split
拐,guǎi,guǎi,no_split
衬,chèn,chèn,no_split
奠,diàn,diàn,no_split
祈,qí,qí,no_split
畏,wèi,wèi,no_split
瞬,shùn,shùn,no_split
坝,bà,bà,no_split
遂,suì,suì,no_split
棍,gùn,gùn,no_split
颈,jǐng,jǐng,no_split
彰,zhāng,zhāng,no_split
抄,chāo,chāo,no_split
捞,lāo,lāo,no_split
昔,xī,xī,no_split
钩,gōu,gōu,no_split
携,xié,xié,no_split
乖,guāi,guāi,no_split
辰,chén,chén,no_split
叉,chá,chá,no_split
叉,chǎ,chǎ,no_split
叉,chà,chà,no_split
叉,chā,chā,no_split
蕾,lěi,lěi,no_split
宰,zǎi,zǎi,no_split
屠,tú,tú,no_split
厕,cè,cè,no_split
碳,tàn,tàn,no_split
纱,shā,shā,no_split
皱,zhòu,zhòu,no_split
肾,shèn,shèn,no_split
膨,péng,péng,no_split
儒,rú,rú,no_split
浸,jìn,jìn,no_split
狮,shī,shī,no_split
枯,kū,kū,no_split
愧,kuì,kuì,no_split
仆,pú,pú,no_split
仆,pū,pū,no_split
懈,xiè,xiè,no_split
遮,zhē,zhē,no_split
擅,shàn,shàn,no_split
惟,wéi,wéi,no_split
瞪,dèng,dèng,no_split
帆,fān,fān,no_split
瞎,xiā,xiā,no_split
酱,jiàng,jiàng,no_split
甩,shuǎi,shuǎi,no_split
颠,diān,diān,no_split
坊,fáng,fáng,no_split
坊,fāng,fāng,no_split
嫂,sǎo,sǎo,no_split
裸,luǒ,luǒ,no_split
渗,shèn,shèn,no_split
踩,cǎi,cǎi,no_split
耻,chǐ,chǐ,no_split
粹,cuì,cuì,no_split
昭,zhāo,zhāo,no_split
弊,bì,bì,no_split
蹲,cún,cún,no_split
蹲,dūn,dūn,no_split
涯,yá,yá,no_split
塌,tā,tā,no_split
谦,qiān,qiān,no_split
侠,xiá,xiá,no_split
铭,míng,míng,no_split
玄,xuán,xuán,no_split
贱,jiàn,jiàn,no_split
衔,xián,xián,no_split
叠,dié,dié,no_split
挫,cuò,cuò,no_split
尉,wèi,wèi,no_split
逛,guàng,guàng,no_split
匪,fěi,fěi,no_split
藤,téng,téng,no_split
葱,cōng,cōng,no_split
坠,zhuì,zhuì,no_split
讼,sòng,sòng,no_split
柬,jiǎn,jiǎn,no_split
逸,yì,yì,no_split
暑,shǔ,shǔ,no_split
狭,xiá,xiá,no_split
狐,hú,hú,no_split
冈,gāng,gāng,no_split
勉,miǎn,miǎn,no_split
溢,yì,yì,no_split
岂,qǐ,qǐ,no_split
茅,máo,máo,no_split
舱,cāng,cāng,no_split
漆,qī,qī,no_split
灿,càn,càn,no_split
霜,shuāng,shuāng,no_split
谎,huǎng,huǎng,no_split
娇,jiāo,jiāo,no_split
迄,qì,qì,no_split
呐,nà,nà,no_split
祷,dǎo,dǎo,no_split
芒,máng,máng,no_split
戚,qī,qī,no_split
淑,shū,shū,no_split
垫,diàn,diàn,no_split
矩,jǔ,jǔ,no_split
殷,yān,yān,no_split
殷,yǐn,yǐn,no_split
殷,yīn,yīn,no_split
弦,xián,xián,no_split
吼,hǒu,hǒu,no_split
卑,bēi,bēi,no_split
熙,xī,xī,no_split
瘤,liú,liú,no_split
钉,dìng,dìng,no_split
钉,dīng,dīng,no_split
洽,qià,qià,no_split
瓷,cí,cí,no_split
虐,nüè,nüè,no_split
跪,guì,guì,no_split
穴,xué,xué,no_split
淫,yín,yín,no_split
讶,yà,yà,no_split
掀,xiān,xiān,no_split
辜,gū,gū,no_split
脊,jǐ,jǐ,no_split
帜,zhì,zhì,no_split
僵,jiāng,jiāng,no_split
颂,sòng,sòng,no_split
鞭,biān,biān,no_split
卵,luǎn,luǎn,no_split
扁,biǎn,biǎn,no_split
扁,piān,piān,no_split
咽,yàn,yàn,no_split
咽,yān,yān,no_split
咽,yè,yè,no_split
鹅,é,é,no_split
撰,zhuàn,zhuàn,no_split
谴,qiǎn,qiǎn,no_split
熬,āo,āo,no_split
熬,áo,áo,no_split
伞,sǎn,sǎn,no_split
勘,kān,kān,no_split
撕,sī,sī,no_split
娶,qǔ,qǔ,no_split
宠,chǒng,chǒng,no_split
贿,huì,huì,no_split
淀,diàn,diàn,no_split
鼎,dǐng,dǐng,no_split
甫,fǔ,fǔ,no_split
冶,yě,yě,no_split
窄,zhǎi,zhǎi,no_split
澡,zǎo,zǎo,no_split
辐,fú,fú,no_split
霉,méi,méi,no_split
绒,róng,róng,no_split
崩,bēng,bēng,no_split
蟹,xiè,xiè,no_split
裹,guǒ,guǒ,no_split
轴,zhòu,zhòu,no_split
轴,zhóu,zhóu,no_split
吟,yín,yín,no_split
诈,zhà,zhà,no_split
浆,jiāng,jiāng,no_split
缅,miǎn,miǎn,no_split
沾,zhān,zhān,no_split
哨,shào,shào,no_split
驳,bó,bó,no_split
喉,hóu,hóu,no_split
翅,chì,chì,no_split
舅,jiù,jiù,no_split
饥,jī,jī,no_split
钓,diào,diào,no_split
甸,diàn,diàn,no_split
哄,hòng,hòng,no_split
哄,hǒng,hǒng,no_split
哄,hōng,hōng,no_split
瞒,mán,mán,no_split
垒,lěi,lěi,no_split
屡,lǚ,lǚ,no_split
虾,xiā,xiā,no_split
匠,jiàng,jiàng,no_split
鹏,péng,péng,no_split
逗,dòu,dòu,no_split
寡,guǎ,guǎ,no_split
膝,xī,xī,no_split
雀,qiāo,qiāo,no_split
雀,què,què,no_split
硫,liú,liú,no_split
勋,xūn,xūn,no_split
厢,xiāng,xiāng,no_split
溃,huì,huì,no_split
溃,kuì,kuì,no_split
乾,qián,qián,no_split
捏,niē,niē,no_split
僧,sēng,sēng,no_split
饶,ráo,ráo,no_split
渊,yuān,yuān,no_split
咸,xián,xián,no_split
蝶,dié,dié,no_split
铝,lǚ,lǚ,no_split
逾,yú,yú,no_split
刹,chà,chà,no_split
刹,shā,shā,no_split
摧,cuī,cuī,no_split
肢,zhī,zhī,no_split
槽,cáo,cáo,no_split
桩,zhuāng,zhuāng,no_split
浦,pǔ,pǔ,no_split
媳,xí,xí,no_split
侍,shì,shì,no_split
萝,luó,luó,no_split
酿,niàng,niàng,no_split
鹤,hè,hè,no_split
犬,quǎn,quǎn,no_split
倦,juàn,juàn,no_split
妖,yāo,yāo,no_split
嘱,zhǔ,zhǔ,no_split
椒,jiāo,jiāo,no_split
铸,zhù,zhù,no_split
缔,dì,dì,no_split
焕,huàn,huàn,no_split
肆,sì,sì,no_split
睹,dǔ,dǔ,no_split
兜,dōu,dōu,no_split
矣,yǐ,yǐ,no_split
匀,yún,yún,no_split
咋,zǎ,zǎ,no_split
咋,zé,zé,no_split
咋,zhā,zhā,no_split
芽,yá,yá,no_split
赐,cì,cì,no_split
蕴,yùn,yùn,no_split
顷,qǐng,qǐng,no_split
嘻,xī,xī,no_split
卸,xiè,xiè,no_split
揽,lǎn,lǎn,no_split
