definition_id,example_sn,example_cn,example_en,example_img
21012,1,次子,second son,
21012,2,次日。,next day,
21013,1,次品,sub-standard products,
21013,2,"这个人太次,一点也不讲究社会公德。",This guy is really bad. He has practically no sense of social morality.,
21014,1,次氯酸。,hypochlorous acid,
21015,1,第一次国内革命战争,First Revolutionary Civil War,
21015,2,我是初次来北京,This is my first visit to Beijing.,
21015,3,试验了十八次才成功。,Success came only after 18 tests.,
21016,1,途次,traveller's lodging,
21016,2,旅次,lodging (on a trip); hotel,
21016,3,舟次。,berth on a boat,
21017,1,胸次,in one's heart; mind,
21017,2,言次。,in one's own words or remarks,
21111,1,棉被,cotton-padded quilt,
21111,2,夹被,lined quilt,
21111,3,毛巾被,towelling coverlet,
21111,4,做一床被。,make a new quilt,
21112,1,被覆。,cover,
21113,1,被灾,suffer (or be hit by) disaster,
21113,2,被难。,be killed in a disaster; suffer from a disaster,
21114,1,解放军到处被(人)尊敬,Men of the PLA are respected everywhere.,
21114,2,那棵树被(大风)刮倒了,The tree was uprooted (by the gale).,
21114,3,这部书被人借走了一本,One of the books in this series has been borrowed.,
21114,4,他被选为代表。,He was elected a representative.,
21115,1,被压迫,oppressed,
21115,2,被批评,criticized,
21115,3,被剥削阶级。,exploited class,
21211,1,一座山,a mountain,
21211,2,高山。,tall mountain,
21212,1,冰山。,iceberg,
21213,1,蚕上山了。,The silkworms have gone into the straw bundles to spin their cocoons.,
21214,1,房山。,gables of a house,
21311,1,德才兼备,have both ability and integrity,
21311,2,多才多艺。,versatile; all-round; myriad-minded,
21312,1,干才,person of experience and ability,
21312,2,奇才。,prodigy; unusual talent,
21314,1,你怎么才来就要走?,Why leave so soon? You've just arrived.,
21315,1,"他说星期三动身,到星期五才走","He said he'd be leaving on Wednesday, but he didn't start out until Friday.",
21315,2,大风到晚上才住了。,The wind kept blowing until evening fell.,
21316,1,"只有依靠群众,才能把工作做好。",Only by relying on the masses can we do a good job.,
21317,1,"经他解释之后,我才明白是怎么回事。",I didn't know what was going on until he explained it to me.,
21318,1,"这个工厂开办时才五百工人,现在已有几千工人了。","Now the factory has several thousand workers, up from a mere 500 at the beginning.",
21319,1,麦子长得才好呢!,The wheat is coming along just fine.,
21411,1,知己知彼,know oneself and know the other party,
21411,2,舍己为人,make personal sacrifices for the interests of others,
21411,3,严于律己。,be strict with oneself,
21511,1,定期,at regular intervals,
21511,2,限期,deadline; time limit,
21511,3,到期,fall due; expire,
21511,4,过期作废。,become null and void upon expiration,
21512,1,学期,school term; semester,
21512,2,假期,holiday; vacation,
21512,3,潜伏期,latency,
21512,4,三个月为一期。,Each period lasts three months.,
21513,1,训练班先后办了三期,The training class was run three times successively.,
21513,2,这个刊物已经出版了十几期。,This magazine has published a dozen or so issues.,
21514,1,不期而遇。,come across each other by chance,
21515,1,期待,anticipation,
21515,2,期望。,expectation,
21521,1,期年,a whole year,
21521,2,期月。,a whole month,
21611,1,西面,west,
21611,2,河西,west of the river,
21611,3,往西去,westward; westbound,
21611,4,夕阳西下。,The sun sets in the west.,
21612,1,泰西,(old) Western (mainly European) countries; the West,
21612,2,西医,Western medicine,
21612,3,西服,Western-style suit,
21612,4,西式,Western style,
21612,5,学贯中西。,be well-versed in both Chinese and Western learning,
21721,1,美术,fine arts,
21721,2,武术,martial arts,
21721,3,医术,medical skill,
21721,4,术语,technical term,
21721,5,不学无术。,be ignorant and incompetent,
21722,1,战术,tactics,
21722,2,权术。,political trickery,
21811,1,同舟共济。,in the same boat,
21812,1,接济,give money to; give material (financial) help to,
21812,2,缓不济急。,Slow action cannot save a critical situation.,
21813,1,无济于事,be of no help; be no good; of no avail; to no avail; to no effect,
21813,2,假公济私。,jobbery; use public office for personal gain,
21911,1,认字,be able to read; be literate,
21911,2,认清是非,distinguish between right and wrong,
21911,3,"自己的东西,自己来认。",Come over and make out what belongs to you.,
21912,1,认了一门亲,establish relationship through marriage; acknowledge relationship with a relative,
21912,2,认老师。,accept sb. as one's teacher,
21913,1,公认,established,
21913,2,否认,deny,
21913,3,认可,accept; approve of,
21913,4,认输,admit defeat,
21913,5,认错ㄦ。,admit a mistake; apologize,
21914,1,"你不用管,这事我认了。","Leave it to me, and I'll just accept the consequence, whatever it is.",
22011,1,先进,advanced,
22011,2,先例,precedent,
22011,3,事先,beforehand,
22011,4,领先,take the lead,
22011,5,争先恐后,rush off to the front; strive to be the first and fear to lag behind,
22011,6,有言在先。,make it clear beforehand,
22012,1,先人。,ancestors,
22013,1,先父,the late father,
22013,2,先烈,martyrs,
22013,3,先哲。,great thinker of yore,
22014,1,小王的技术比先强多了,Xiao Wang's skill is much better than before.,
22014,2,你先怎么不告诉我?,Why didn't you tell me beforehand?,
22111,1,一条命,a life,
22111,2,救命,save one's life,
22111,3,丧了命。,lose one's life; get killed,
22112,1,短命,die young; be short-lived,
22112,2,长命百岁。,long life; may you live to be 100,
22113,1,命苦,ill fate; be doomed to a life of misfortunes or poverty,
22113,2,认命,resign oneself to fate,
22113,3,算命,fortune-telling,
22113,4,宿命论。,fatalism,
22114,1,命驾。,order one's carriage; set out,
22115,1,奉命,act under orders; receive an order or instruction,
22115,2,待命。,await instructions,
22116,1,命名,name; name after,
22116,2,命题。,assign a topic (or subject); set a question,
22211,1,行走,walk,
22211,2,走路,hit the road; walk,
22211,3,孩子会走了,The baby can walk now.,
22211,4,马不走了。,The horse has stopped in its tracks.,
22212,1,奔走相告。,run about spreading the news,
22213,1,钟不走了,The clock has stopped.,
22213,2,这条船一个钟头能走三十里,The ship can ply 30 li per hour.,
22213,3,你这步棋走坏了。,You've made a bad move.,
22214,1,车刚走,"The bus (car, train, etc.) has just left.",
22214,2,我明天要走了,I'm leaving tomorrow.,
22214,3,请你走一趟吧,Please do us a favour by making a trip there.,
22214,4,把土抬走。,carry the earth away,
22215,1,她还这么年轻就走了。,She died so young.,
22216,1,走娘家,visit the bride's home,
22216,2,走亲戚,visit a relative,
22216,3,他们两家走得很近。,The two families are in close touch.,
22217,1,咱们走这个门出去吧。,Let's go out through this door.,
22218,1,走气,The gas is leaking.,
22218,2,走风,disclose (a secret),
22218,3,说走了嘴。,make a slip of the tongue,
22219,1,走样,depart from the original model,
22219,2,走调ㄦ,out of tune,
22219,3,茶叶走味了,The tea has lost the original flavour.,
22219,4,你把原意讲走了。,You failed to convey the original meaning in your speech.,
22311,1,真心诚意,"sincerely, genuinely",
22311,2,千真万确,absolutely true,
22311,3,去伪存真,eliminate the false and retain the true,
22311,4,这幅宋人的水墨画是真的。,This is a genuine Song-dynasty painting.,
22312,1,时间过得真快!,How time flies!,
22312,2,‘人勤地不懒’这话真不假。,It is really true that ‘hard work in the fields brings in a good harvest’.,
22313,1,字音咬得真,pronounce words distinctly,
22313,2,黑板上的字你看得真吗?,Can you see the characters on the blackboard clearly?,
22314,1,真草隶篆。,"regular, cursive, official, and seal scripts",
22315,1,传真,fax; facsimile,
22315,2,写真。,draw a portrait,
22316,1,返朴归真。,recovering one's original simplicity; back to nature,
22431,1,教员,teacher,
22431,2,学员,student; trainee,
22431,3,演员,actor; actress,
22431,4,职员,staff member; clerk,
22431,5,炊事员,cook,
22431,6,指挥员,commander,
22431,7,战斗员,combatant,
22431,8,员工,staff,
22431,9,人员。,personnel,
22432,1,党员,Party member,
22432,2,团员,member of the Communist Youth League of China; League member,
22432,3,会员,member of an organization,
22432,4,队员。,team member,
22433,1,一员大将。,a valiant general,
22511,1,波及,impact; exert an impact on,
22511,2,普及,popularize,
22511,3,及格,"pass an exam, a test, etc.",
22511,4,目力所及,as far as the eye can see,
22511,5,由表及里,(analyze or dissect matter) from external to internal,
22511,6,将及十载。,Nearly a decade has passed.,
22512,1,及时,timely,
22512,2,及早,as soon as possible,
22512,3,望尘莫及。,trail too far behind to catch up,
22513,1,"论学习,我不及他。",In study I am no comparison with him.,
22514,1,"老吾老,以及人之老",I care for other people's elders as I care for my own.,
22514,2,"攻其一点,不及其余。",attack sb. for a minor fault while ignoring his or her strengths,
22516,1,图书、仪器、标本及其他。,"books, instruments, samples and other things",
22516,2,"[注意]NOTE:用‘及’连接的成分多在意义上有主次之分,主要的成分放在‘及’的前面。","The character 及 is used to join two or more nouns, with the one following it subordinate in meaning.",
22611,1,频数,frequent and continuous,
22611,2,数见不鲜。,be a common occurrence,
22621,1,数数目,count,
22621,2,你去数数咱们今天种了多少棵树,Go and count how many trees we planted today.,
22621,3,从十五数到三十。,count from 15 to 30,
22622,1,数一数二,be reckoned as one of the best,
22622,2,全班数他的功课好。,He is the best in the class in terms of academic performance.,
22623,1,数说,scold,
22623,2,数其罪,list the crimes sb. has committed,
22623,3,数了一顿。,blame sb. by enumerating his wrongdoings,
22632,1,在数难逃(迷信,superstition,
22633,1,在数难逃(迷信,superstition,
22634,1,在数难逃(迷信,superstition,
22635,1,数十种,dozens of kinds,
22635,2,数小时。,a few hours,
22636,1,每亩能产千数斤。,"The yield (of grain, etc.) per mu is expected to top 500 kg.",
22712,1,话别,say a few parting words,
22712,2,话家常。,chitchat; engage in small talk,
22811,1,前门,front door,
22811,2,屋门,room door,
22811,3,送货上门。,deliver goods to the customer's door,
22812,1,铁门,iron door,
22812,2,栅栏门ㄦ,fence gate,
22812,3,两扇红漆大门。,red painted double-leaf gate,
22814,1,电门,switch,
22814,2,水门,water gate,
22814,3,气门,air valve,
22814,4,闸门,floodgate,
22814,5,球门。,goal,
22816,1,张门王氏,"Mrs. Zhang, née Wang; Mrs. Zhang whose maiden name is Wang",
22816,2,长门长子,eldest son of the eldest branch of a clan,
22816,3,满门,whole family,
22816,4,双喜临门。,Double blessing has descended upon the house.,
22817,1,儒门,Confucianism,
22817,2,佛门,Buddhism,
22817,3,左道旁门。,heretical sect,
22818,1,拜门,take sb. as one's teacher,
22818,2,同门,learn from the same teacher or master,
22818,3,门徒。,follower,
22819,1,分门别类,put into different categories,
22819,2,五花八门。,multifarious; of all sorts,
22820,1,一门大炮。,a cannon,
22820,2,用于功课、技术等,[of field of study or technical training],
22820,3,三门功课,three courses,
22820,4,两门技术。,two skills,
22821,1,一门大炮。,a cannon,
22821,2,用于功课、技术等,[of field of study or technical training],
22821,3,三门功课,three courses,
22821,4,两门技术。,two skills,
22822,1,一门大炮。,a cannon,
22822,2,用于功课、技术等,[of field of study or technical training],
22822,3,三门功课,three courses,
22822,4,两门技术。,two skills,
22911,1,高级,senior,
22911,2,上级,higher-up,
22911,3,县级,county level,
22911,4,级差,differential,
22911,5,三级工。,third-grade worker,
22912,1,留级,fail to advance to the next higher grade,
22912,2,同级不同班。,in the same grade but not the same class,
22913,1,石级。,stone step,
22914,1,十多级台阶。,flight of a dozen or so steps,
23011,1,我军,our troops,
23011,2,陆军,infantry; ground force; army,
23011,3,解放军,People's Liberation Army (PLA),
23011,4,参军,join the army,
23011,5,裁军,disarmament,
23011,6,军地两用人才,people competent in both military and productive skills,
23011,7,军,labour army; contingent of labour forces,
23011,8,劳动后备军。,labour reserves,
23012,1,第一军,First Army,
23012,2,敌人的兵力估计有两个军。,It is estimated that the enemy troops consist of two armies.,
23111,1,系统,system; scheme,
23111,2,血统,bloodline; genealogy,
23111,3,传统。,tradition; heritage,
23112,1,统筹,plan as a whole; make overall plans; coordinate in an overall manner,
23112,2,统购统销,"state monopoly for purchase and marketing (of grain, cotton, etc.); unified purchase and sale by the state",
23112,3,这些东西统归你用。,You have all these things at your disposal.,
23113,1,统治,rule; control; dominate,
23113,2,统兵,command troops,
23113,3,上级主管部门不要对企业统得过死。,The leading department should not exercise rigid and excessive control over enterprises.,
23114,1,长统皮靴,high boots,
23114,2,皮统子。,fur lining for a coat,
23211,1,风光,scenery,
23211,2,春光明媚。,sunlit and enchanting spring scenery,
23212,1,风光,scenery,
23212,2,春光明媚。,sunlit and enchanting spring scenery,
23213,1,为国增光。,bring honour to the country; do credit to one's country honour,
23214,1,沾光,benefit from the support or influence of someone,
23214,2,叨光,much obliged to you,
23214,3,借光。,excuse me,
23215,1,光临,your presence,
23215,2,光顾。,patronize; patronage (used in polite formulas),
23216,1,光前裕后。,glorify the forefathers and provide for the descendants,
23217,1,光明,bright; light; open-hearted,
23217,2,光泽。,lustre,
23218,1,磨光,polish,
23218,2,这种纸很光。,This paper is very glossy.,
23219,1,精光,with nothing left,
23219,2,用光,use up,
23219,3,把敌人消灭光。,wipe out the enemy,
23220,1,光膀子,be stripped to the waist,
23220,2,光着头。,bareheaded,
23221,1,"任务这么重,光靠你们两个人恐怕不行。",The task is quite demanding. I'm afraid just the two of you cannot do it.,
23312,1,喊了两声。,give two yells,
23313,1,声明,state; declare,
23313,2,不声不响,keep quiet; keep silence; remain silent,
23313,3,声东击西。,make a feint to the east and attack in the west,
23314,1,声誉,reputation; fame,
23314,2,声望。,popularity; prestige; reputation,
23315,1,双声叠韵。,alliteration and vowel rhyme,
23316,1,平声,level tone,
23316,2,四声。,four tones in classic and modern Chinese,
23411,1,命题,give a topic; set a question; assign a topic,
23411,2,出题,set an examination paper; set a topic,
23411,3,离题太远,stray away from the subject,
23411,4,文不对题。,not to the point; irrelevant to the subject; beside the point; wide of the mark; not pertinent,
23412,1,题诗,inscribe a poem,
23412,2,题字,write a few words of encouragement on an occasion; autograph; inscription,
23412,3,题名。,inscribe a name; give an autograph,
23511,1,投入,input,
23511,2,入冬,winter has set in,
23511,3,由浅入深,from the easy to the difficult,
23511,4,纳入正轨。,set sth. on the right track,
23512,1,入学,enrol in a school,
23512,2,入团,be admitted into the Communist Youth League,
23512,3,入伍。,be conscripted,
23513,1,岁入,state revenue in a fiscal year,
23513,2,入不敷出,spend more than one earns,
23513,3,量入为出。,live within one's means,
23514,1,入时,stylish,
23514,2,入情入理。,fair and just,
23515,1,平上去入。,"the level, rising, falling and entering tones of classical Chinese pronunciation",
23611,1,这小姑娘长得真美,The little girl is really beautiful.,
23611,2,这里的风景多美呀!,What beautiful scenery!,
23612,1,美容,beauty treatment,
23612,2,美发。,(of men) get a haircut; (of women) go to the hairdresser's,
23613,1,美酒,good wine,
23613,2,价廉物美,be both cheap and good,
23613,3,日子过得挺美。,live happily,
23614,1,美不胜收,There are more beautiful things than the eye can take in.,
23614,2,成人之美。,help sb. attain his goals; lend countenance to sb.; bring a romance to a happy ending,
23615,1,"老师夸了他几句,他就美得了不得。",After just a few words of praise from the teacher he felt enormously pleased with himself.,
23616,1,南美,South America,
23616,2,北美。,North America,
23617,1,美圆,US dollar,
23617,2,美籍华人。,Chinese American,
23711,1,口轻,light taste — hate salty and spicy food,
23711,2,口重。,strong taste — love salty and spicy food,
23712,1,口轻,light taste — hate salty and spicy food,
23712,2,口重。,strong taste — love salty and spicy food,
23713,1,户口,registered permanent residence,
23713,2,家口,members of a family,
23713,3,拖家带口。,be tied down by one's family,
23716,1,口外,"areas north of Zhangjiakou, Hebei Province",
23716,2,喜峰口,Xifeng Pass,
23716,3,古北口,Gubei Pass,
23716,4,口蘑,mushroom,
23716,5,西口羊皮。,Xikou sheepskin,
23718,1,归口,put under the competent leadership of a government department,
23718,2,财贸口。,financial and trade circles,
23719,1,刀卷口了。,The edge of the knife has turned.,
23720,1,六岁口,six years of age,
23720,2,这匹马口还轻。,This horse is still young.,
23811,1,身体偶感不适。,not feel well; be indisposed; be out of sorts,
23812,1,感人肺腑,be greatly touched,
23812,2,深有所感。,be deeply moved,
23813,1,感谢,thank,
23813,2,感恩,be grateful,
23813,3,感激。,appreciate,
23814,1,外感内伤。,affection by exogenous pathogenic factors; diseases caused by external factors,
23815,1,美感,appeal; pleasantness,
23815,2,好感,favour; good impression,
23815,3,自豪感,sense of pride,
23815,4,亲切之感,intimacy,
23815,5,观感,reaction to (or impression of),
23815,6,百感交集。,all kinds of feelings well up in one's heart,
23816,1,感光。,sensitization; light-sensitivity; exposure,
23911,1,宣战,declare war,
23911,2,停战,ceasefire; armistice,
23911,3,持久战,protracted war,
23911,4,战。,commercial war,
23912,1,战胜,conquer; overcome; defeat; vanquish; surmount; triumph over,
23912,2,百战百胜,be invincible; win each and every fight,
23912,3,愈战愈勇,grow ever more brave with each fighting,
23912,4,战天斗地。,brave the elements; fight heaven and earth; combat nature,
23914,1,寒战,shiver with cold,
23914,2,冷得打战,shiver with cold,
23914,3,胆战心惊。,tremble with fear; be scared out of one's wits,
24011,1,科目,item; subject,
24011,2,文科,liberal arts; hu-manities,
24011,3,理科,sciences,
24011,4,专科,vocational study; specialty,
24011,5,牙科,dentistry,
24011,6,妇科。,gynaecology,
24012,1,科员,staff member,
24012,2,秘书科,secretarial office,
24012,3,财务科。,accounting department,
24013,1,科场,site of an imperial examination,
24013,2,登科,pass the imperial examination,
24013,3,开科取士。,hold an imperial examination to select civil officials,
24014,1,坐科,receive professional training in an opera school,
24014,2,出科。,graduate from an opera school,
24016,1,金科玉律,infallible law; final say,
24016,2,作奸犯科。,violate the law and commit crimes; run afoul of law,
24017,1,科刑,pass a sentence,
24017,2,科罪,convict sb. and impose a punishment,
24017,3,科以罚金。,impose a fine,
24111,1,章程,rules; constitution,
24111,2,程式。,form; pattern; formula; modality,
24112,1,议程,agenda,
24112,2,课程。,course; curriculum,
24113,1,启程,set out on a journey; embark on a journey,
24113,2,送你一程。,I will accompany you on the first leg of the journey.,
24114,1,里程碑,milestone,
24114,2,射程,range of fire,
24114,3,行程。,distance travelled; course; journey,
24115,1,计日程功,estimate exactly how much time is needed to complete a project; be sure of success as planned,
24115,2,程其器能。,make an evaluation of one's qualifications and ability,
24211,1,新式,new style; new type,
24211,2,旧式,old type; old fashion,
24211,3,西式。,Western style,
24212,1,程式,pattern; form to be copied,
24212,2,法式。,pattern; model,
24213,1,开幕式,opening ceremony,
24213,2,毕业式,graduation ceremony,
24213,3,阅兵式。,military parade; military review,
24214,1,分子式,molecular formula,
24214,2,方程式。,equation,
24311,1,食指,index finger; forefinger,
24311,2,首屈一指,second to none,
24311,3,屈指可数,can be counted on one's fingers; few and far between; very few,
24311,4,天黑得伸手不见五指。,It's so dark that you can't even see your hand in front of you.,
24312,1,下了三指雨,We had rain about three fingers' width deep.,
24312,2,这双鞋大了一指,This pair of shoes is a finger too large.,
24312,3,两指宽的纸条。,a slip of paper of two-finger width,
24313,1,用手一指,point to,
24313,2,时针正指十二点。,The hour hand is pointing to 12.,
24314,1,发指。,get one's hackles up; boil with anger,
24315,1,指导,instruct; give guidance; direct; coach; tutor; supervise; guide,
24315,2,指示,indicate; point out; instruct; order,
24315,3,指出正确方向,point out the right way,
24315,4,指出缺点。,point out sb.'s shortcomings,
24316,1,"这不是指你说的,是指他的。","The remarks are not directed at you, but him.",
24317,1,指望,expect; count on; reckon on; bank on; figure on,
24317,2,单指着一个人是不能把事情做好的。,You can't possibly get a good job done counting on one person alone.,
24411,1,一生一世。,lifetime; one's whole life; throughout one's life; all one's life,
24412,1,第十世孙。,the 11th in descent; descendant in the 11th generation,
24413,1,世交,long-standing friendship between two families,
24413,2,世仇,family feud; vendetta; sworn enemy (in a family feud),
24413,3,世谊,friendship dating back to two or more generations,
24413,4,三代祖传世医。,doctor of traditional Chinese medicine with a practice spanning three generations,
24414,1,世兄,father's friend's son who is older than oneself,
24414,2,世叔。,younger friend of one's father,
24415,1,近世,modern times,
24415,2,当世。,nowadays; at present,
24416,1,问世,be published; come out,
24416,2,世人,common people; people at large,
24416,3,世道,manners and morals of the time; ways of the world,
24416,4,世上,in the world; on earth,
24416,5,公之于世。,make sth. public; make sth. known to the world,
24511,1,我明天三点钟必到,I will definitely be here at three o'clock tomorrow.,
24511,2,"不战则已,战则必胜。",Fight no battle where victory is not certain.,
24512,1,事必躬亲,do everything oneself; attend to every detail in person,
24512,2,"事物的存在和发展,必有一定的条件。",There must be certain conditions for the existence and development of a thing.,
24611,1,释放,release; set free,
24611,2,把俘虏放回去。,release prisoners-of-war,
24612,1,放学,(of school) class dismissal at the end of the day,
24612,2,放工。,knock off,
24613,1,放任,let go unchecked,
24613,2,放声高歌,sing at the top of one's voice,
24613,3,放言高论。,have a high-flown talk,
24614,1,放牛,put cattle out to pasture,
24614,2,放羊。,let off sheep to pasture,
24615,1,放逐,send into exile,
24615,2,流放。,exile,
24616,1,放枪,shoot; discharge (a gun),
24616,2,放冷箭,make a sneak attack,
24616,3,放光,give out light,
24616,4,玉簪花放出阵阵的清香。,The plantain lily gives off wafts of delicate fragrance.,
24617,1,放火,set on fire,
24617,2,放爆竹。,set off firecrackers,
24618,1,放债,lend money,
24618,2,放款。,loan; make loans,
24619,1,放大,magnify,
24619,2,放宽,relax restrictions,
24619,3,上衣的身长要放一寸。,let out an inch on the length of the jacket,
24620,1,百花齐放。,a hundred flowers in bloom,
24621,1,"这件事情不要紧,先放一放。","It is not an urgent matter, and we may put it aside for the moment.",
24622,1,上山放树。,go up the mountain to fell trees,
24623,1,把书放在桌子上。,Put the book on the table.,
24624,1,菜里多放点酱油。,Put a bit more soya sauce in the dish.,
24625,1,放明白些,Be sensible.,
24625,2,放稳重些,Be sedate and steady.,
24625,3,脚步放轻些。,Tread softly.,
24711,1,一打铅笔,a dozen pencils,
24711,2,两打毛巾。,two dozen towels,
24721,1,打门,knock at the door,
24721,2,打鼓。,beat a drum,
24722,1,碗打了,The bowl is broken.,
24722,2,鸡飞蛋打。,The hen has flown away and the eggs are broken.,
24723,1,打架,fight,
24723,2,打援。,attack enemy reinforcements,
24724,1,打官司,go to court,
24724,2,打交道。,come into contact with,
24725,1,打坝,construct a dam,
24725,2,打墙。,build a wall,
24726,1,打刀,forge a knife,
24726,2,打家具,make furniture,
24726,3,打烧饼。,make sesame seed cakes,
24727,1,打馅ㄦ,stir filling,
24727,2,打糨子。,mix paste,
24728,1,打包裹,pack one's luggage,
24728,2,打铺盖卷ㄦ,pack one's bedding,
24728,3,打裹腿。,wind a puttee,
24729,1,打草鞋,weave straw sandals,
24729,2,打毛衣。,knit a sweater,
24730,1,打蜡,wax,
24730,2,打个问号,put a question mark,
24730,3,打墨线,draw an ink line,
24730,4,打格子,draw squares,
24730,5,打戳子,put a stamp,
24730,6,打图样ㄦ。,paint a picture,
24731,1,打开盖子,take off the lid,
24731,2,打冰,dig ice,
24731,3,打井,dig a well,
24731,4,打眼ㄦ。,drill a hole,
24732,1,打旗子,unfurl a banner,
24732,2,打灯笼,carry a lantern,
24732,3,打伞,hold an umbrella,
24732,4,打帘子,raise the curtain,
24732,5,打起精神来。,cheer up,
24733,1,打雷,thunder,
24733,2,打炮,fire a cannon,
24733,3,打信号,give a signal,
24733,4,打电话。,make a phone call,
24734,1,打介绍信。,write out a letter of introduction for sb.,
24735,1,打旁杈。,prune the side branches,
24736,1,打水,scoop up water,
24736,2,打粥。,ladle gruel,
24737,1,打油,buy oil,
24737,2,打酒,buy a drink,
24737,3,打车票。,buy a bus ticket,
24738,1,打鸟,shoot birds,
24738,2,打鱼。,catch fish,
24739,1,打柴,gather firewood,
24739,2,打草。,collect grass,
24740,1,打草稿,work out a draft,
24740,2,打主意,think of a plan,
24740,3,成本打二百块钱。,estimate or reckon the cost at 200 yuan,
24740,4,打杂ㄦ,do; engage in,
24740,5,打游击,do odds and ends,
24740,6,打埋伏,"fight a guerrilla warfare; work, eat or sleep in no fixed place",
24740,7,打前站。,lie in ambush or keep sth. in reserve,
24740,8,打球,act as an advance party,
24740,9,打扑克,play,
24740,10,打秋千。,play ball,
24740,11,打手势,play cards,
24740,12,打哈欠,go on the swing,
24740,13,打嗝ㄦ,[indicating some physical actions],
24740,14,打踉跄,make a gesture,
24740,15,打前失,yawn,
24740,16,打滚ㄦ,hiccup,
24740,17,打晃ㄦ(huàngr)。,stagger,
24740,18,打官腔,stumble,
24740,19,打比喻,roll about,
24740,20,打马虎眼。,sway before falling down,
24741,1,他曾被打成右派。,He was convicted as a Rightist.,
24742,1,"打这ㄦ往西,再走三里地就到了","Head west from here, and you'll reach the place after walking three li.",
24742,2,他打门缝里往外看,He looked out through a crack in the door.,
24742,3,"打今ㄦ起,每天晚上学习一小时。","From now on, you should study for one hour every night.",
24811,1,邻接,abut upon; adjoin; neighbour (on); be in proximity to,
24811,2,接近,come close to; be near; approach; approximate,
24811,3,交头接耳。,speak in each other's ears; whisper in each other's ears,
24812,1,接电线,connect the electric wires,
24812,2,接纱头,join thrums,
24812,3,这一句跟上一句接不上,This sentence doesn't follow the last one.,
24812,4,这部影片上下两集接着演。,The two parts of the film are shown without a break.,
24813,1,接球,catch a ball,
24813,2,"书掉下来了,赶快用手接住。",The books are falling. Catch them!,
24814,1,接见,receive; interview,
24814,2,接待,receive; (of a place) be open to; admit,
24814,3,接到来信。,receive a letter,
24815,1,到车站接人。,meet sb. at the station,
24816,1,接事,start new work; accept a post,
24816,2,谁接你的班?,Who will succeed you?,
24911,1,总之,in short,
24911,2,汇总,collect; gather,
24911,3,总其成,assume overall responsibility for completing a divided task,
24911,4,总起来说,to sum up,
24911,5,把两笔账总到一块ㄦ。,settle the two accounts together,
24912,1,总账,general account; general ledger,
24912,2,总动员,general mobilization,
24912,3,总攻击,general offensive,
24912,4,总罢工,general strike,
24912,5,总的情况对我们非常有利。,The whole (or general) situation is very favourable to us.,
24913,1,总纲,general programme,
24913,2,总则,general rules,
24913,3,总店,main store,
24913,4,总工会,federation of trade unions,
24913,5,总路线,general line,
24913,6,总司令,commander-in-chief,
24913,7,总书记。,general secretary,
24914,1,天总不放晴,The cloudy weather drags on and won't clear up.,
24914,2,晚饭后他总是到湖边散步。,He always takes a walk along the lakeside after supper.,
24915,1,"冬天总要过去,春天总会来临","Winter will be over anyway, and spring will come eventually.",
24915,2,"小孩子总是小孩子,哪能像大人那样有力气。","After all, a child is a child. How can he possibly be as strong as a grown-up?",
25011,1,做衣服,make clothes,
25011,2,用这木头做张桌子。,make a table using this piece of wood,
25012,1,做诗,write a poem,
25012,2,做文章。,write an article,
25013,1,做工,do manual work; work,
25013,2,做事,do work,
25013,3,做买卖。,do business; buy and sell,
25014,1,做寿,hold a birthday party for an elder,
25014,2,做生日。,celebrate sb.'s birthday,
25015,1,做母亲的,being a mother,
25015,2,做官,hold an official post; be an official,
25015,3,做教员,be a teacher; become a teacher,
25015,4,做保育员,be a nurse,
25015,5,今天开会由他做主席。,He'll be the chairman at today's meeting.,
25016,1,树皮可以做造纸的原料,Bark may be used as a raw material for making paper.,
25016,2,这篇文章可以做教材。,This article may be used as teaching material.,
25017,1,做亲,(of two families) become related by marriage,
25017,2,做对头,set oneself against sb.,
25017,3,做朋友。,make friends with,
25018,1,做样子,make a show,
25018,2,做鬼脸,make faces,
25018,3,做痛苦状。,grimace with pain,
25111,1,东边ㄦ,east side,
25111,2,东方,the east,
25111,3,东风,east wind,
25111,4,东城,eastern part of a city,
25111,5,城东,east of a city,
25111,6,大江东去。,The great river runs eastward.,
25112,1,房东,landlord or landlady,
25112,2,股东,shareholder,
25112,3,东家。,master,
25211,1,区分。,distinguish; differentiate; discriminate,
25212,1,山区,mountainous area,
25212,2,解放区,liberated area,
25212,3,工业区,industrial district,
25212,4,住宅区,residential quarters,
25212,5,风景区。,scenic area; parkland; tourist resort,
25311,1,务农,be engaged in agriculture,
25311,2,农具,farm tools,
25311,3,农田水利,irrigation and water conservancy,
25311,4,农林牧副渔。,"farming, forestry, animal husbandry, sideline production and fishery",
25312,1,老农,old peasant,
25312,2,茶农,tea grower,
25312,3,菜农。,vegetable grower,
25411,1,强国,powerful nation; strong country; power,
25411,2,富强,rich and powerful,
25411,3,身强体壮,strong and healthy,
25411,4,工作能力强。,very capable in work,
25412,1,要强,be eager to excel; be anxious to outdo others,
25412,2,"责任心强,工作就做得好。",Only with a strong sense of responsibility can one do a good job.,
25413,1,强制,force; compel; coerce; impel,
25413,2,强渡,force or fight one's way across a river,
25413,3,强占,seize; forcibly take; occupy by force,
25413,4,强索财物。,take possession of other people's property by forcible means,
