hanzi,pinyin,pos,definition_id,origin_definition_cn,definition_cn,origin_definition_en,definition_en
会晤,huì wù,动词,874511,会面;会见,正式会面,meet; meet with,meet
会计,kuài jì,名词,723811,"监督和管理财务的工作,主要内容有填制各种记账凭证,处理账务,编制各种有关报表等。",财务管理工作,"accounting; system of recording, summarizing and verifying business and financial transactions, involving filling out certificates for keeping accounts, handling accounting matters, and making financial statements",accounting
会计,kuài jì,名词,723812,担任会计工作的人员。,从事会计工作的人,accountant; one who is in charge of accounting,accountant
会议,huì yì,名词,591111,有组织有领导地商议事情的集会,有组织有领导地商议事情的集会,meeting; conference; organized gathering for discussion and consultation,conference
会议,huì yì,名词,591112,一种经常商讨并处理重要事务的常设机构或组织,常设议事机构,congress; council; conference; standing body that meets regularly to discuss and make decisions on important matters,council
伛,yǔ,动词,508211,曲(背);弯(腰),弯腰；驼背,bow,bow
伞,sǎn,名词,254211,"挡雨或遮太阳的用具,用油纸、布、塑料等制成,中间有柄,可以张合",遮阳挡雨的用具,"umbrella; device for protection from rain or sun consisting of a collapsible, usu. circular canopy made of oiled paper, cloth, plastic, etc., mounted on a central rod",umbrella
伞,sǎn,名词,254212,像伞的东西,伞状物,sth. like an umbrella,canopy
伞,sǎn,名词,254213,(Sǎn)姓。,姓氏,a surname,surname
伟,wěi,形容词,108011,伟大,卓越；崇高,great,great
伟,wěi,形容词,108012,壮美,壮美,beautiful and magnificent,magnificent
伟大,wěi dà,形容词,764211,"品格崇高;才识卓越;气象雄伟;规模宏大;超出寻常,令人景仰钦佩的",非凡卓越,great; outstanding; magnificent; grand; extraordinary; awe-inspiring,great
传,zhuàn,名词,30311,解释经文的著作,经典注释,commentaries on classics,commentary
传,zhuàn,名词,30312,传记,人物生平记录,biography,biography
传,zhuàn,名词,30313,叙述历史故事的作品(多用做小说名称,历史故事叙述,usu. used in titles,historical tale
传,chuán,动词,30321,由一方交给另一方;由上代交给下代,由一方交给另一方;由上代交给下代,pass from one to another; hand down from one generation to the next,pass
传,chuán,动词,30322,传授,教授知识技能,teach,teach
传,chuán,动词,30323,传播,广泛宣传,promulgate,spread
传,chuán,动词,30324,传导,传递能量,transmit,conduct
传,chuán,动词,30325,表达,表达,express,convey
传,chuán,动词,30326,发出命令叫人来,召唤某人,demand the presence of sb.,summon
传,chuán,动词,30327,传染,疾病传播,infect,infect
传单,chuán dān,名词,825911,印成单张向外散发的宣传品,印成单张向外散发的宣传品,leaflet; handbill,leaflet
传授,chuán shòu,动词,826011,把学问、技艺教给别人,教授技艺,"pass on knowledge, skill, etc., to others",instruct
传播,chuán bō,动词,682111,广泛散布,广泛传布,spread far and wide,disseminate
传染,chuán rǎn,动词,682311,"病原体侵入生物体,使生物体产生病理反应,叫做传染。有明显症状的叫显性传染,无明显症状的叫隐性传染。",病原体侵入生物体并引发病理反应的过程。有明显症状的称为显性传染，无明显症状的称为隐性传染。,"infect; contagion; pathological reaction of an organic body to the invasion by a pathogen; known as dominant contagion when obvious symptoms occur, and as recessive contagion when no obvious symptoms occur",infect; contagion
传染,chuán rǎn,动词,682312,"因接触而使情绪、感情、风气等受影响,发生类似变化",比喻因接触而使情绪、感情或风气等受到影响并发生类似变化。,"influence mood, feelings, or atmosphere through contact",influence; affect
传真,chuán zhēn,动词,615111,指画家描绘人物的形状,指画家描绘人物的真实形态。,draw the portrait of a person,portray
传真,chuán zhēn,名词,615112,"利用光电效应,通过有线电或无线电装置把照片、图表、书信、文件等的真迹传送到远方的通讯方式。",利用光电效应，通过有线或无线装置将文件、图片等真迹传送到远方的通讯方式。,"facsimile transmission; telecommunication system, wired or wireless, of transmitting a photograph, a chart, a letter, or a document by scanning it photoelectrically and reproducing it xerographically at another location",fax; facsimile
传统,chuán tǒng,名词,682511,"世代相传、具有特点的社会因素,如文化、道德、思想、制度等",世代相传、具有特色的社会文化因素，如道德、思想、制度等。,"tradition; social factors or elements carried forward from generation to generation and with unique characteristics, such as culture, ethics, ideology, system, etc.",tradition
传记,zhuàn jì,名词,1029111,记录某人生平事迹的文字,记录某人生平事迹的文字作品。,biography; written account of a person's life; life story,biography
传说,chuán shuō,名词,682411,辗转述说,通过多人转述而流传的说法。,relay,rumor
传说,chuán shuō,名词,682412,群众口头上流传的关于某人某事的叙述或某种说法,民间口头流传的关于某人或某事的叙述。,account or description of sb. or sth. passed around by word of mouth,legend; folklore
传达,chuán dá,动词,825811,把一方的意思告诉给另一方,将一方的信息或意思转告给另一方。,pass on the message of one party to another,convey; relay
传达,chuán dá,名词,825812,在机关、学校、工厂的门口管理登记和引导来宾的工作,在机构入口处负责登记和引导访客的工作。,"reception and registration of visitors at an organization, school, or factory",reception
传达,chuán dá,名词,825813,在机关、学校、工厂的门口担任传达工作的人。,在机构入口处负责传达工作的人员。,receptionist,receptionist
传递,chuán dì,动词,682211,由一方交给另一方;辗转递送,由一方转交给另一方；依次传送。,deliver sth. from one party to another; relay,pass; transmit
伢,yá,名词,370611,小孩儿。,方言中指小孩。,child; kid,child
伤,shāng,名词,79911,人体或其他物体受到的损害,人体或物体受到的损害。,wound; injury,injury; wound
伤,shāng,动词,79912,伤害,使受到损害。,injure; hurt,injure; hurt
伤,shāng,形容词,79913,悲伤,感到悲伤。,be distressed; be grieved,grieved
伤,shāng,动词,79914,因过度而感到厌烦(多指饮食),因过度而感到厌烦（多指饮食）。,get sick of sth. (esp. food and drink); develop an aversion to sth.,sick of
伤,shāng,动词,79915,妨碍,妨碍。,be harmful to; hinder,hinder
伤心,shāng xīn,形容词,645311,由于遭受不幸或不如意的事而心里痛苦,因遭遇不幸或不如意之事而感到痛苦。,sad; grieved; broken-hearted,heartbroken
伤脑筋,shāng nǎo jīn,形容词,945911,"形容事情难办,费心思",形容事情难办，需要费心思。,knotty; troublesome; bothersome,troublesome
伦,lún,名词,130011,人伦,指人与人之间的道德关系。,"human relations, esp. as conceived by feudal ethics",ethics
伦,lún,名词,130012,条理;次序,条理；次序。,logic; order,order
伦,lún,形容词,130013,同类;同等,同类；同等。,peer; match,peer
伦,lún,名词,130014,(Lún)姓。,姓氏。,a surname,a surname
伧,cāng,形容词,479521,粗野,粗野；不礼貌。,rough; impolite; uncivil; unpolished; rude,rude
伪,wěi,形容词,153211,有意做作掩盖本来面貌的;虚假(跟‘真’相对as opposed to‘true’}),故意掩盖真实面貌的；虚假的。,disguise; cover the original look of sth. on purpose; false,fake
伪,wěi,形容词,153212,不合法的;窃取政权、不为人民所拥护的,不合法的；不被人民拥护的政权。,(of a regime) bogus; puppet,puppet
伪造,wěi zào,动词,975011,假造,故意制造假的东西。,fabricate,forge
伫,zhù,动词,383511,伫立,长时间站立。,stand for a long while,stand
伯,bó,名词,91121,伯父,父亲的哥哥。,uncle; father's elder brother,uncle
伯,bó,名词,91122,在弟兄排行的次序里代表老大,兄弟排行中的长子。,the eldest among brothers,eldest brother
伯,bó,名词,91123,封建五等爵位的第三等,封建爵位中的第三等。,earl; count; the third of the five ranks of nobility in feudal society,earl
伯母,bó mǔ,名词,809211,伯父的妻子。,伯父的妻子。,aunt; wife of father's elder brother,aunt
估,gù,名词,158011,[估衣](gù yi)出售的旧衣服或原料较次、加工较粗的新衣服,指出售的旧衣服或质量较差的新衣服。,second-hand clothes or new clothes poorly tailored and made of inferior material,second-hand clothes
估,gū,动词,158021,估计;揣测,大致推算或猜测。,estimate; appraise; guess,estimate
估计,gū jì,动词,623711,"根据某些情况,对事物的性质、数量、变化等做大概的推断",根据情况对事物性质、数量等做出大致推断。,"make a rough estimate of the nature, quantity or changes of a thing in the light of certain circumstances; estimate; appraise; reckon",estimate
伴,bàn,动词,123612,陪伴;陪同,陪同；一起进行活动。,accompany,accompany
伴侣,bàn lǚ,名词,798211,同在一起生活、工作或旅行的人,共同生活、工作或旅行的伙伴。,"companion; mate; partner in work, travel or life",partner
伴随,bàn suí,动词,798311,随同;跟,跟随；一同进行。,accompany; follow,accompany
伶,líng,名词,321311,指戏曲演员,旧时指戏曲演员。,actor or actress (in traditional opera),actor
伶仃,líng dīng,形容词,2026411,孤独;没有依靠,孤独无依。,lonely; solitary; left alone to fend for oneself,lonely
伶仃,líng dīng,形容词,2026412,瘦弱,身体瘦弱。,thin and weak,weak
伶俐,líng lì,形容词,908411,聪明;灵活,聪明且反应快。,clever; bright; smart; quick-witted,clever
伸,shēn,动词,105811,(肢体或物体的一部分)展开,展开肢体或物体的一部分。,(of part of the limbs or sth.) stretch; extend,stretch
伺,sì,动词,339211,观察;守候,观察等待。,watch; await,watch
伺,cì,动词,339221,"[伺候](cì hou)在人身边供使唤,照料饮食起居",照料他人的饮食起居。,wait upon sb.; serve,serve
伺候,cì hòu,动词,2000129,照料他人生活,照顾他人的日常生活。,serve,serve
似,sì,动词,47411,像;如同,像;如同,similar; like,like
似,sì,副词,47412,似乎,好像；似乎。,seem; appear,seem
似,sì,动词,47413,表示超过,表示比较，超过。,(used in a comparative) than,than
似,shì,助词,47421,"[似的](shì de)用在名词、代词或动词后面,表示跟某种事物或情况相似",[似的](shì de)用于名词、代词或动词后，表示与某事物或情况相似,"[used after a noun, pronoun, or verb to indicate similarity] be like ...; as ... as ...; as if","[used after a noun, pronoun, or verb] like; as if"
似乎,sì hū,副词,756011,仿佛;好像,表示不确定的推测或感觉，相当于“好像”,as if; seemingly,seemingly; as if
似的,shì de,助词,2000103,表示相似性,用于表示与某事物相似,similar to,similar to; like
伽,jiā,名词,279111,"[伽倻琴](jiāyēqín)朝鲜族的弦乐器,有些像筝。",[伽倻琴](jiāyēqín)朝鲜族传统弦乐器，形似古筝,"plucked stringed instrument, used by the Korean people",Korean traditional zither-like instrument
伽,gā,名词,279131,[伽马射线](gāmǎ shèxiàn)丙种射线。,[伽马射线](gāmǎ shèxiàn)一种高能电磁辐射,gamma ray; γray;,gamma ray
佃,tián,动词,291811,耕种田地。,耕作田地,cultivate farmland,cultivate farmland
佃,diàn,动词,291821,租种土地,租种他人土地,rented land,rent farmland
但,dàn,副词,12311,只,仅仅，只,merely; only; just,only; merely
但,dàn,连词,12312,但是,表示转折关系,but; yet; still; in spite of,but; however
但,dàn,名词,12313,(Dàn)姓。,姓氏,a surname,a surname
但是,dàn shì,连词,567911,"用在后半句话里表示转折,往往与‘虽然、尽管’等呼应",用于表示转折，常与“虽然”等词呼应,but [used to introduce the next part of a sentence and indicate unexpectedness or exception],but; however
位,wèi,名词,19911,所在或所占的地方,所在或占据的地方,place; location,place; location
位,wèi,名词,19912,职位;地位,职务或社会地位,position,position; status
位,wèi,名词,19913,特指君主的地位,特指君主的统治地位,throne,throne
位,wèi,名词,19914,一个数中每个数码所占的位置,数字中每个数字所占的位置,place; figure; digit,digit; place
位,wèi,量词,19915,用于人（含敬意）,for people,classifier for people
位,wèi,名词,19916,(Wèi)姓。,姓氏,a surname,a surname
位于,wèi yú,动词,975211,位置处在(某处),处在某个地点或位置,be located; be situated; lie,be located; be situated
位置,wèi zhi,名词,764611,所在或所占的地方,所在或占据的地方,seat; place,position; place
位置,wèi zhi,名词,764613,指职位,指工作职位,position,job position
低,dī,形容词,45011,从下向上距离小；离地面近（与高相对）。,离地面近；高度小（与“高”相对）,at a short distance from the ground; low,low
低,dī,形容词,45012,在一般标准或平均程度之下,在一般标准或平均程度之下,below average; low,below average
低,dī,形容词,45013,等级在下的,等级或地位在下,low in grade or rank,low-ranking
低,dī,动词,45014,(头)向下垂,（头）向下垂,hang down; droop,lower; droop
低回,dī huí,动词,2036111,徘徊(huái)。,来回走动,pace up and down,pace back and forth
低回,dī huí,动词,2036112,留恋,因留恋而不愿离开,be reluctant to leave; linger,linger; be reluctant to leave
低回,dī huí,动词,2036113,回旋起伏,（情感等）反复萦绕,full of twists and turns; tangled; sentimental,linger; haunt
住,zhù,动词,34011,居住;住宿,长期在某地生活,live; reside; stay,live; reside
住,zhù,动词,34012,停住;止住,停止；不再继续,stop; cease,stop; cease
住,zhù,动词,34013,做动词的补语。,作动词补语，表示停止或稳固,[used after a verb as complement],[verb complement] indicating cessation or stability
住宅,zhù zhái,名词,1027111,住房(多指规模较大的,供人居住的房屋（多指较大规模的）,oft. on large scale,residence; housing (often large-scale)
佐,zuǒ,动词,253211,辅佐;辅助,辅助；协助,assist,assist; aid
佐,zuǒ,名词,253212,辅佐别人的人,辅助他人的人,assistant,assistant
佑,yòu,动词,308811,保佑。,保佑；庇护,help; protect; bless,bless; protect
体,tǐ,名词,7521,"身体,有时指身体的一部分",人或动物的整个身躯,body or part of a body,body
体,tǐ,名词,7522,物体,物质存在的形态,substance or state of a substance,substance; object
体,tǐ,名词,7523,文字的书写形式;作品的体裁,文字或艺术作品的风格形式,style; form,style; form
体,tǐ,动词,7524,亲身(经验);设身处地(着想),亲身经历；设身处地考虑,personally do or experience sth.; put oneself in another's position,experience personally; empathize
体,tǐ,名词,7525,体制,组织制度,system,system
体,tǐ,名词,7526,"一种语法范畴,多表示动词所指动作进行的情况。",表示动词动作进行状态的语法范畴,(gram.) aspect of a verb usu. indicating the progressive nature of an action,(grammar) aspect
体会,tǐ huì,动词,759111,体验领会,通过亲身经历而理解,know (or learn) from experience; feel; understand,understand through experience
体现,tǐ xiàn,动词,759411,某种性质或现象在某一事物上具体表现出来,具体表现某种特性或现象,embody; reflect; give expression to; (of certain property or phenomenon) be reflected in a concrete thing,embody; manifest
体积,tǐ jī,名词,759211,物体所占空间的大小。,物体占据空间的大小,volume; bulk; space occupied by an object,volume
体系,tǐ xì,名词,965211,若干有关事物或某些意识互相联系而构成的一个整体,相互关联的事物构成的整体,system; setup; set or arrangement of things or thoughts so related or connected as to form an organic whole,system
体育,tǐ yù,名词,602011,"以发展体力、增强体质为主要任务的教育,通过参加各项运动来实现",以增强体质为目的的教育活动,physical education; physical training; education aimed at developing physical strength and improving the physique by taking part in different kinds of sports,physical education
体育,tǐ yù,名词,602012,指体育运动。,各种体育运动的总称,sports,sports
体谅,tǐ liàng,动词,965011,"设身处地为人着想,给以谅解",理解并宽容他人的处境,show understanding and sympathy by putting oneself in sb. else's position; make allowances for,show understanding
体贴,tǐ tiē,形容词,759311,"细心忖度别人的心情和处境,给予关切、照顾",细心关怀他人的,show consideration for; give every care to,considerate
体面,tǐ miàn,名词,965111,体统;身份,尊严；面子,dignity; face,dignity
体面,tǐ miàn,形容词,965112,光荣;光彩,光荣的；有面子的,honourable; creditable; respectable,honorable
体面,tǐ miàn,形容词,965113,(相貌或样子)好看;美丽,形容外表或形象端庄、好看,"good-looking, handsome; beautiful; pretty",dignified; presentable
体验,tǐ yàn,动词,759511,通过实践来认识周围的事物;亲身经历,通过亲身实践来认识或感受事物,learn through practice; learn through personal experience,experience
何,hé,代词,40211,什么,疑问代词，表示“什么”,what,what
何,hé,副词,40212,表示反问,用于反问，表示强调,[rhetorical question],how
何,hé,名词,40213,(Hé)姓。,姓氏,a surname,a surname
何况,hé kuàng,连词,706711,用反问的语气表示更进一层的意思,连词，用于反问句表示更进一步的意思,[used in rhetorical questions] much less; let alone,let alone
何必,hé bì,副词,706611,用反问的语气表示不必,用反问语气表示没有必要,[used in rhetorical questions] there is no need; why,why bother
佗,tuó,动词,479911,负荷。,背负，承载,carry or bear on the back,carry
佘,shé,名词,463811,姓。,姓氏,a surname,a surname
余,yú,代词,69111,我。,第一人称代词，指“我”,I; me,I; me
余,yú,名词,69112,(Yú)姓。,姓氏,a surname,a surname
余,yú,动词,69113,剩下,剩下,surplus; spare; remaining,remain
余,yú,形容词,69114,大数或度量单位等后面的零头,整数后的零头,more than; odd; over,odd
余,yú,名词,69115,指某种事情、情况以外或以后的时间,某事之后的时间,time beyond or after an event,aftermath
佛,fó,名词,87011,佛陀的简称。,佛陀的简称,Abbr. for佛陀Fótuó,Buddha
佛,fó,名词,87012,佛教徒称修行圆满的人,佛教中修行圆满的人,one who has attained enlightenment,enlightened one
佛,fó,名词,87013,佛教,佛教,Buddhism,Buddhism
佛,fó,名词,87014,佛像,佛陀的塑像或画像,image or statue of Buddha,Buddha statue
佛,fó,名词,87015,佛号或佛经,佛的名号或经典,name of the Buddha (Amitabha); Buddhist scripture or sutra; Buddhist sacred literature,Buddhist scriptures
作,zuò,动词,3711,起,起身，兴起,rise; grow; get up,rise
作,zuò,动词,3712,从事某种活动,从事，进行,engage in certain activity,engage
作,zuò,动词,3713,写作,创作，写作,write; compose,write
作,zuò,名词,3714,作品,创作的作品,writings; work,work
作,zuò,动词,3715,装,假装,pretend; affect,pretend
作,zuò,动词,3716,当作;作为,当作，作为,regard as; take sb. or sth. for,regard as
作,zuò,动词,3717,发作,发作,feel; have,break out
作,zuō,名词,3721,作坊,手工业工场,workshop,workshop
作业,zuò yè,名词,609911,教师给学生布置的功课;部队给士兵布置的训练性的军事活动;生产单位给工人或工作人员布置的生产活动,教师布置的学习任务或工作单位分配的生产任务,homework; assignment given by a teacher to the students; military drill assignment given by a commander to soldiers; production assignment given by a production unit to workers or staff,assignment
作业,zuò yè,动词,609912,从事这种军事活动或生产活动,进行军事或生产活动,military operation; production; task; work,operate
作为,zuò wéi,名词,794211,所作所为;行为,行为，举动,conduct; deed; action,conduct
作为,zuò wéi,动词,794212,做出成绩,取得成就,accomplishment; achievement,achieve
作为,zuò wéi,名词,794213,可以做的事,可施展才能的空间,scope for one's abilities or talents,potential
作为,zuò wéi,动词,794214,当做,视为，当作,regard as; look on as; take as,take as
作为,zuò wéi,介词,794215,就人的某种身份或事物的某种性质来说,以某种身份或性质,in the capacity or with the characteristic of; as,as
作品,zuò pǐn,名词,794111,指文学艺术方面的成品,文学艺术创作的成果,works (of literature and art),work
作废,zuò fèi,动词,1034911,因失效而废弃,因失效而取消,become invalid,cancel
作弊,zuò bì,动词,1034811,用欺骗的方式做违法乱纪或不合规定的事情,用欺骗手段做违规之事,practise fraud; cheat; indulge in corrupt practices; do sth. unlawful or against rules by fraud,cheat
作息,zuò xī,名词,1035111,工作和休息,工作与休息,work and rest,work and rest
作文,zuò wén,动词,794311,写文章(多指学生练习写作,写文章（多指学生练习）,of students,write
作文,zuò wén,名词,794312,学生作为练习所写的文章,学生练习写的文章,composition; article a student writes for practice,composition
作用,zuò yòng,动词,610011,对事物产生影响,对事物产生影响,act on; affect,affect
作用,zuò yòng,名词,610012,对事物产生某种影响的活动,产生影响的活动,action; function,action
作用,zuò yòng,名词,610013,对事物产生的影响;效果;效用,产生的影响或效果,impact; result; effect,effect
作用,zuò yòng,名词,610014,用意,意图，目的,purpose; intention; motive,purpose
作者,zuò zhě,名词,667911,文章或著作的写作者;艺术作品的创作者。,文章或艺术品的创作者,writer; author; artist,author
作风,zuò fēng,名词,1035011,(思想上、工作上和生活上)表现出来的态度、行为,表现出的态度或行为方式,"style; style of work; way; attitude; behaviour; conduct (in ideology, work and life)",style
作风,zuò fēng,名词,1035012,风格,风格,style,style
佝偻,gōu lóu,形容词,2060542,驼背的样子,背部弯曲的样子,hunchbacked; stooped,hunchbacked
佞,nìng,形容词,532811,惯于用花言巧语谄媚人,善于用花言巧语谄媚,given to flattery; smarmy; unctuous,flattering
佞,nìng,形容词,532812,有才智,有才智,talented; intelligent; wise,talented
佟,tóng,名词,320311,姓。,姓氏。,a surname,a surname
你,nǐ,代词,8311,称对方(一个人,用于称呼对方（单数）。,singular,you (singular)
你,nǐ,代词,8312,泛指任何人,泛指任何人。,everyone; anyone,everyone; anyone
佣,yōng,动词,270621,雇用,雇用,hire,hire
佣,yōng,名词,270622,仆人,仆人。,servant,servant
佣金,yòng jīn,名词,2044811,买卖时付给中间人的报酬。,买卖交易中支付给中间人的报酬。,commission; brokerage; middleman's fee,commission; brokerage
佤,wǎ,名词,341911,指佤族。,指中国少数民族佤族。,Va ethnic minority group,Va ethnic group
佥,qiān,副词,504111,全;都,全部；都。,unanimous; together,all; unanimous
佧,kǎ,名词,370811,[佧佤族](Kǎwǎzú)佤族的旧称。,佤族的旧称。,old name for 佤族 Wǎzú,former name of Va ethnic group
佩,pèi,动词,196711,佩带,佩戴。,wear; sport,wear
佩,pèi,名词,196712,系在衣带上的装饰品,古代系在衣带上的装饰品。,pendant hanging on one's coat belt,ancient belt pendant
佩,pèi,动词,196713,佩服,钦佩。,admire,admire
佩服,pèi fú,动词,736811,感到可敬可爱;钦佩,感到敬佩。,admire; think highly of; revere,admire
佬,lǎo,名词,389811,成年的男子(含轻视意,成年男子（含轻视意）。,derog.,man (derogatory)
佯,yáng,动词,384911,假装,假装。,pretend; feign; sham,pretend
佰,bǎi,数词,539711,‘百’的大写。,“百”的大写形式。,"used for the numeral 百bǎi on cheques, etc. to avoid mistakes or alterations",capital form of 百
佳,jiā,形容词,160811,美;好,美好。,good; fine; beautiful,good; fine
佳肴,jiā yáo,名词,881311,精美的菜肴,精美的菜肴。,delicacies,delicacy
佶屈聱牙,jí qū áo yá,形容词,2024811,(文章)读起来不顺口,形容文章艰涩难读。,(of a piece of writing) difficult to read or comprehend,hard to read
佻,tiāo,形容词,480211,轻佻,轻浮。,frivolous,frivolous
佼,jiǎo,形容词,371411,美好。,美好。,handsome; beautiful,handsome
使,shǐ,动词,12211,派遣;支使,派遣；指使。,send; have (sb. do sth.),send
使,shǐ,动词,12212,使用,使用。,use; employ; apply; exert,use
使,shǐ,动词,12213,让;叫;致使,致使；让。,make; cause; enable; help,make
使,shǐ,连词,12214,假如。,假如。,if; supposing,if
使,shǐ,名词,12215,奉使命办事的人,使者。,envoy; emissary; messenger,envoy
使劲儿,shǐ jìn ér,动词,2000102,用尽全力做某事,用力。,exert strength,exert
使命,shǐ mìng,名词,953211,"派人办事的命令,多比喻重大的责任",重大的责任或任务。,mission; order that sends sb. to do sth.; (oft. fig.) important duty,mission
使用,shǐ yòng,动词,647211,使人员、器物、资金等为某种目的服务,运用人员或物品达到目的。,"use; employ; apply; make use of; resort to; (of personnel, implements, capital, etc.) serve some purpose",use
侃,kǎn,形容词,345611,刚直。,刚直。,upright and outspoken,upright
侃,kǎn,形容词,345612,和乐的样子。,和乐的样子。,look amiable,amiable
侃,kǎn,动词,345613,闲谈;闲扯,闲聊。,chat idly,chat
侄,zhí,名词,2060236,弟兄的儿子,兄弟的儿子。,brother's son; nephew,nephew
侈,chǐ,动词,360911,浪费,浪费。,waste,waste
侈,chǐ,动词,360912,夸大,夸大。,exaggerate,exaggerate
例,lì,名词,38811,用来帮助说明或证明某种情况或说法的事物,用来帮助说明或证明某种情况或说法的事物,example; instance,example
例,lì,名词,38812,"从前有过,后来可以仿效或依据的事情",从前有过，后来可以仿效或依据的事情,precedent,precedent
例,lì,名词,38813,调查或统计时指合于某种条件的事例,符合条件的事例。,case; instance,case
例,lì,名词,38814,规则;体例,规则。,rule; regulation,rule
例,lì,形容词,38815,按条例规定的;照成规进行的,常规的。,regular; routine,regular
例外,lì wài,名词,906211,在一般的规律、规定之外,超出一般规律的情况。,be an exception,exception
例外,lì wài,名词,906212,在一般的规律、规定之外的情况,在一般的规律、规定之外的情况,exception,exception
例如,lì rú,连词,636511,"举例用语,放在所举的例子前面,表示下面就是例子",用于举例。,for instance; for example (e.g.); such as,for example
侍,shì,动词,248511,陪伴侍候,服侍；照料。,wait upon; attend upon; serve,serve
侏,zhū,名词,426211,[侏儒](zhūrú)身材异常矮小的人。这种异常的发育多由脑垂体前叶的功能低下所致。,身材异常矮小的人。,"dwarf; midget; manikin; gnome; pygmy; Lilliputian; abnormally small person, oft. due to the hypofunction of the anterior lobe of the pituitary gland",dwarf
侗,tóng,形容词,323311,幼稚;无知。,幼稚无知。,childish; ignorant,childish
侗,dòng,名词,323321,侗族。,中国少数民族之一。,"the Dongs, an ethnic minority people",Dong ethnic group
侗族,dòng zú,名词,2060508,中国少数民族之一,中国少数民族之一。,Dong ethnic minority of China,Dong ethnic group
供,gōng,动词,56911,供给;供应,提供所需物品。,supply; feed,supply
供,gōng,动词,56912,提供某种利用的条件(给对方利用),提供利用条件。,provide for use or convenience,provide
供,gòng,动词,56921,把香烛等放在神佛或先辈的像(或牌位)前面表示敬奉; 祭祀时摆设祭品,在神佛或祖先像（或牌位）前摆放香烛等物品以示敬奉；祭祀时陈列祭品,"present joss sticks and candles before the Buddha, the portrait of an ancestor (or a memorial tablet); lay up offerings at a rite or service",offer
供,gòng,名词,56922,陈列的表示虔敬的东西;供品,用于表示虔敬的陈列物品；祭祀用品,goods displayed to show reverence; offerings,offering
供,gòng,动词,56923,受审者陈述案情,受审者陈述案件事实,statement made by the person on trial,confess
供,gòng,名词,56924,口供;供词,受审者的陈述内容；口供,confession,confession
供不应求,gōng bù yìng qiú,形容词,859611,供应的东西不能满足需求。,供应量无法满足需求量,supply falls short of demand; in short supply,short supply
供给,gōng jǐ,动词,859711,把生活中必需的物资、钱财、资料等给需要的人使用,向需要者提供生活必需的物资、资金或资料,"supply or provide necessary goods, money, materials, etc. for people in need",supply
依,yī,动词,59712,依从;同意,顺从；同意,comply with; listen to; yield to,comply
依,yī,介词,59713,按照,根据；按照,according to; in the light of; judging by,according to
依,yī,名词,59714,(Yī)姓。,姓氏,a surname,a surname
依托,yī tuō,动词,998811,依靠,依赖；依靠,rely on; depend on,rely on
依托,yī tuō,动词,998812,为达到一定目的而假借某种名义,借某种名义达到目的,pretext; excuse,pretext
依据,yī jù,名词,998511,根据。,根据；基础,according to; in the light of; on the basis of; judging by,basis
依旧,yī jiù,副词,998411,照旧,保持原样,remain the same,still
依次,yī cì,副词,998311,按照次序,按顺序,in proper order; successively,in order
依然,yī rán,副词,776411,依旧,仍然；照旧,still; as before,still
依赖,yī lài,动词,998711,依靠别的人或事物而不能自立或自给,依靠他人或事物而无法自立,rely on; be dependent on,depend
依赖,yī lài,动词,998712,指各个事物或现象互为条件而不可分离,事物间相互依存,be interdependent,interdependent
依靠,yī kào,动词,998611,指望(别的人或事物来达到一定目的),依赖他人或事物达成目的,fall back on; rely on (other people or things to reach certain purpose); depend on,rely on
依靠,yī kào,名词,998612,可以依靠的人或东西,可依赖的人或物,person or thing on whom or which one can depend,support
侠,xiá,名词,362611,侠客,行侠仗义之人,knight-errant,knight-errant
侠,xiá,形容词,362612,侠义,具有侠义精神的,chivalrous,chivalrous
侣,lǚ,名词,265911,同伴,同伴；伙伴,companion; associate,companion
侥,jiǎo,形容词,388211,[侥幸](jiǎoxìng)由于偶然的原因而得到成功或免去灾害,因偶然因素获得成功或避免灾祸,lucky; by luck; by a fluke; succeed or avoid disaster by chance,lucky
侦,zhēn,动词,190411,暗中察看;调查,暗中察看;调查,detect; scout; investigate,detect
侦探,zhēn tàn,动词,1016711,暗中探寻机密或案情,秘密调查案件或机密,do detective work; spy,detect
侦探,zhēn tàn,名词,1016712,做侦探工作的人;间谍。,从事侦探工作的人,detective; spy,detective
侧,zhāi,动词,119121,倾斜;不正,倾斜；不正,lean; tilt; slant,tilt
侧,cè,名词,119131,旁边(跟‘正’相对as compared with‘front’}),旁边（与“正”相对）,side (a lateral position or space),side
侧,cè,动词,119132,向旁边歪斜,向旁边倾斜,incline to one side,incline
侧面,cè miàn,名词,815311,旁边的一面(区别于‘正面’,旁边的面（区别于“正面”）,as distinguished from ‘front’,side
侨,qiáo,动词,236511,侨居,在国外居住,live abroad; reside in a foreign country,reside abroad
侨,qiáo,名词,236512,侨民,居住在国外的本国公民,person living abroad; national residing in a foreign country,overseas national
侩,kuài,名词,503311,以拉拢买卖从中取利为职业的人,旧时指撮合买卖从中牟利的人,middleman; broker; commission merchant,broker
侪,chái,名词,527611,同辈;同类的人,同辈；同类人,people of the same generation; fellow; associate,peer
侬,nóng,代词,434711,你。,方言中指“你”,you,you
侬,nóng,代词,434712,我,我,I,I
侬,nóng,名词,434713,(Nóng)姓。,姓氏,a surname,a surname
侮,wǔ,动词,262611,欺负;轻慢,欺负；轻慢,insult; bully,bully
