cihui,pinyin,rank
中资,zhong1'zi1,10462
终点,zhong1'dian3,10463
撞击,zhuang4'ji1,10464
总指挥,zong3'zhi3'hui1,10465
昂扬,ang2'yang2,10466
麻子,ma2'zi,10467
免不了,mian3'bu'liao3,10468
宁愿,ning4'yuan4,10469
天性,tian1'xing4,10470
通告,tong1'gao4,10471
无权,wu2'quan2,10472
杂志社,za2'zhi4'she4,10473
败坏,bai4'huai4,10474
成年,cheng2'nian2,10475
倒退,dao4'tui4,10476
怜悯,lian2'min3,10477
烈,lie4,10478
锣鼓,luo2'gu3,10479
舒,shu1,10480
玄,xuan2,10481
个体户,ge4'ti3'hu4,10482
机票,ji1'piao4,10483
芦苇,lu2'wei3,10484
哪能,na3'neng2,10485
特殊性,te4'shu1'xing4,10486
超前,chao1'qian2,10487
出线,chu1'xian4,10488
赶赴,gan3'fu4,10489
巨人,ju4'ren2,10490
录音,lu4'yin1,10491
面容,mian4'rong2,10492
煽动,shan1'dong4,10493
作曲家,zuo4'qu3'jia1,10494
大将,da4'jiang4,10495
滇,dian1,10496
浮躁,fu2'zao4,10497
积压,ji1'ya1,10498
听从,ting1'cong2,10499
许诺,xu3'nuo4,10500
摇晃,yao2'huang4,10501
移送,yi2'song4,10502
冰冷,bing1'leng3,10503
察觉,cha2'jue2,10504
纪录片,ji4'lu4'pian4,10505
喀布尔,ka1'bu4'er3,10506
人才市场,ren2'cai2'shi4'chang3,10507
扮,ban4,10508
采矿,cai3'kuang4,10509
帝王,di4'wang2,10510
深山,shen1'shan1,10511
驮,tuo2,10512
惋惜,wan3'xi1,10513
营运,ying2'yun4,10514
优待,you1'dai4,10515
淡薄,dan4'bo2,10516
点缀,dian3'zhui4,10517
桂花,gui4'hua1,10518
急促,ji2'cu4,10519
紧缩,jin3'suo1,10520
凝结,ning2'jie2,10521
破裂,po4'lie4,10522
入股,ru4'gu3,10523
身躯,shen1'qu1,10524
洗衣机,xi3'yi1'ji1,10525
远近,yuan3'jin4,10526
殖民地,zhi2'min2'di4,10527
车轮,che1'lun2,10528
脚踏实地,jiao3'ta4'shi2'di4,10529
隶属,li4'shu3,10530
人世,ren2'shi4,10531
任教,ren4'jiao4,10532
辩证法,bian4'zheng4'fa3,10533
掺,chan1,10534
吵架,chao3'jia4,10535
举手,ju3'shou3,10536
聘用,pin4'yong4,10537
忍心,ren3'xin1,10538
说了算,shuo1'le'suan4,10539
外围,wai4'wei2,10540
想必,xiang3'bi4,10541
坟墓,fen2'mu4,10542
赖以,lai4'yi3,10543
连任,lian2'ren4,10544
扫除,sao3'chu2,10545
头疼,tou2'teng2,10546
杂文,za2'wen2,10547
战机,zhan4'ji1,10548
终日,zhong1'ri4,10549
悲壮,bei1'zhuang4,10550
别说,bie2'shuo1,10551
名言,ming2'yan2,10552
拟定,ni3'ding4,10553
四肢,si4'zhi1,10554
微型,wei1'xing2,10555
香味,xiang1'wei4,10556
胸膛,xiong1'tang2,10557
征程,zheng1'cheng2,10558
志愿军,zhi4'yuan4'jun1,10559
酿成,niang4'cheng2,10560
炮弹,pao4'dan4,10561
思绪,si1'xu4,10562
帮教,bang1'jiao4,10563
沉积,chen2'ji1,10564
丰满,feng1'man3,10565
高官,gao1'guan1,10566
毁坏,hui3'huai4,10567
降雨,jiang4'yu3,10568
兽医,shou4'yi1,10569
肆虐,si4'nve4,10570
穴,xue2,10571
译本,yi4'ben3,10572
真实性,zhen1'shi2'xing4,10573
正要,zheng4'yao4,10574
政变,zheng4'bian4,10575
碍,ai4,10576
车门,che1'men2,10577
风声,feng1'sheng1,10578
航道,hang2'dao4,10579
快车,kuai4'che1,10580
面色,mian4'se4,10581
名副其实,ming2'fu4'qi2'shi2,10582
谦虚,qian1'xu1,10583
受骗,shou4'pian4,10584
治愈,zhi4'yu4,10585
传记,zhuan4'ji4,10586
自有,zi4'you3,10587
变质,bian4'zhi4,10588
残忍,can2'ren3,10589
长处,chang2'chu,10590
底蕴,di3'yun4,10591
受害,shou4'hai4,10592
通航,tong1'hang2,10593
锌,xin1,10594
不约而同,bu4'yue1'er2'tong2,10595
村落,cun1'luo4,10596
返乡,fan3'xiang1,10597
后顾之忧,hou4'gu4'zhi1'you1,10598
纪念日,ji4'nian4'ri4,10599
假使,jia3'shi3,10600
苗木,miao2'mu4,10601
培,pei2,10602
张扬,zhang1'yang2,10603
法令,fa3'ling4,10604
横向,heng2'xiang4,10605
男单,nan2'dan1,10606
疯子,feng1'zi3,10607
开国,kai1'guo2,10608
匮乏,kui4'fa2,10609
留守,liu2'shou3,10610
绒,rong2,10611
炭,tan4,10612
诊所,zhen3'suo3,10613
额度,e2'du4,10614
家禽,jia1'qin2,10615
调配,tiao2'pei4,10617
驻外,zhu4'wai4,10618
筹划,chou2'hua4,10619
辍学,chuo4'xue2,10620
规程,gui1'cheng2,10621
上头,shang4'tou,10622
微妙,wei1'miao4,10623
辗转,zhan3'zhuan3,10624
吃喝,chi1'he1,10625
出战,chu1'zhan4,10626
归结,gui1'jie2,10627
迷惑,mi2'huo4,10628
欣然,xin1'ran2,10629
成年人,cheng2'nian2'ren2,10630
合一,he2'yi1,10631
激素,ji1'su4,10632
前身,qian2'shen1,10633
样本,yang4'ben3,10634
语调,yu3'diao4,10635
自已,zi4'yi3,10636
荡荡,dang4'dang4,10637
基石,ji1'shi2,10638
庙会,miao4'hui4,10639
全权,quan2'quan2,10640
生产方式,sheng1'chan3'fang1'shi4,10641
手腕,shou3'wan4,10642
展厅,zhan3'ting1,10643
遵照,zun1'zhao4,10644
好汉,hao3'han4,10645
火热,huo3're4,10646
清脆,qing1'cui4,10647
下意识,xia4'yi4'shi2,10648
自尽,zi4'jin4,10649
半天,ban4'tian1,10650
罢工,ba4'gong1,10651
不公,bu4'gong1,10652
登台,deng1'tai2,10653
独有,du2'you3,10654
明月,ming2'yue4,10655
无需,wu2'xu1,10656
主人翁,zhu3'ren2'weng1,10657
访谈,fang3'tan2,10658
戈壁,ge1'bi4,10659
抗争,kang4'zheng1,10660
老者,lao3'zhe3,10661
聋,long2,10662
梦幻,meng4'huan4,10663
特邀,te4'yao1,10664
威严,wei1'yan2,10665
治污,zhi4'wu1,10666
冬奥会,dong1'ao4'hui4,10667
冷落,leng3'luo4,10668
舍得,she3'de,10669
小车,xiao3'che1,10670
原野,yuan2'ye3,10671
镇定,zhen4'ding4,10672
昂贵,ang2'gui4,10673
哽咽,geng3'ye4,10674
脊梁,ji3'liang2,10675
家政,jia1'zheng4,10676
勘察,kan1'cha2,10677
求学,qiu2'xue2,10678
试想,shi4'xiang3,10679
暑期,shu3'qi1,10680
探险,tan4'xian3,10681
医疗队,yi1'liao2'dui4,10682
白人,bai2'ren2,10683
放射,fang4'she4,10684
谎言,huang3'yan2,10685
荔枝,li4'zhi1,10686
人手,ren2'shou3,10687
私有,si1'you3,10688
作法,zuo4'fa3,10689
做文章,zuo4'wen2'zhang1,10690
采伐,cai3'fa2,10691
除夕,chu2'xi1,10692
加倍,jia1'bei4,10693
泉水,quan2'shui3,10694
思想家,si1'xiang3'jia1,10695
打赢,da3'ying2,10696
电影院,dian4'ying3'yuan4,10697
反问,fan3'wen4,10698
关中,guan1'zhong1,10699
海岛,hai3'dao3,10700
觉醒,jue2'xing3,10701
盲人,mang2'ren2,10702
事事,shi4'shi4,10703
淹,yan1,10704
蕴含,yun4'han2,10705
召回,zhao4'hui2,10706
汽,qi4,10707
潜艇,qian2'ting3,10708
无心,wu2'xin1,10709
逼人,bi1'ren2,10710
濒临,bin1'lin2,10711
户外,hu4'wai4,10712
加油,jia1'you2,10713
区位,qu1'wei4,10714
书信,shu1'xin4,10715
苏维埃,su1'wei2'ai1,10716
下台,xia4'tai2,10717
印章,yin4'zhang1,10718
自强不息,zi4'qiang2'bu4'xi1,10719
归侨,gui1'qiao2,10720
花儿,hua1'r,10721
近似,jin4'si4,10722
失衡,shi1'heng2,10723
守信,shou3'xin4,10724
错综复杂,cuo4'zong1'fu4'za2,10725
款项,kuan3'xiang4,10726
难于,nan2'yu2,10727
施加,shi1'jia1,10728
手绢,shou3'juan4,10729
庸俗,yong1'su2,10730
共和,gong4'he2,10731
团聚,tuan2'ju4,10732
细雨,xi4'yu3,10733
行进,xing2'jin4,10734
波浪,bo1'lang4,10735
出血,chu1'xie3,10736
归属,gui1'shu3,10737
紧缺,jin3'que1,10738
磕头,ke1'tou2,10739
清澈,qing1'che4,10740
涉外,she4'wai4,10741
衰老,shuai1'lao3,10742
意料,yi4'liao4,10743
凡事,fan2'shi4,10744
会面,hui4'mian4,10745
积极分子,ji1'ji2'fen1'zi3,10746
吉祥,ji2'xiang2,10747
倾注,qing1'zhu4,10748
素材,su4'cai2,10749
网络化,wang3'luo4'hua4,10750
愚昧,yu2'mei4,10751
房东,fang2'dong1,10752
放假,fang4'jia4,10753
环绕,huan2'rao4,10754
激战,ji1'zhan4,10755
妥当,tuo3'dang,10756
雄伟,xiong2'wei3,10757
质问,zhi4'wen4,10758
处以,chu3'yi3,10759
非但,fei1'dan4,10760
国产化,guo2'chan3'hua4,10761
数值,shu4'zhi2,10762
月刊,yue4'kan1,10763
蔽,bi4,10765
炒作,chao3'zuo4,10766
讴歌,ou1'ge1,10767
盛开,sheng4'kai1,10768
西服,xi1'fu2,10769
下调,xia4'tiao2,10770
咦,yi2,10771
桂冠,gui4'guan1,10772
行情,hang2'qing2,10773
黑社会,hei1'she4'hui4,10774
激荡,ji1'dang4,10775
指挥员,zhi3'hui1'yuan2,10776
中专,zhong1'zhuan1,10777
主席台,zhu3'xi2'tai2,10778
畅谈,chang4'tan2,10779
大案,da4'an4,10780
功劳,gong1'lao2,10781
回扣,hui2'kou4,10782
机体,ji1'ti3,10783
加固,jia1'gu4,10784
瞟,piao3,10785
随笔,sui2'bi3,10786
蚊子,wen2'zi3,10787
午,wu3,10788
要害,yao4'hai4,10789
早餐,zao3'can1,10790
知觉,zhi1'jue2,10791
专版,zhuan1'ban3,10792
癌,ai2,10793
公理,gong1'li3,10794
顾及,gu4'ji2,10795
汉人,han4'ren2,10796
旧址,jiu4'zhi3,10797
路灯,lu4'deng1,10799
求实,qiu2'shi2,10800
事态,shi4'tai4,10801
链条,lian4'tiao2,10803
留念,liu2'nian4,10804
马驹,ma3'ju1,10805
伍,wu3,10806
销路,xiao1'lu4,10807
百分之百,bai3'fen1'zhi1'bai3,10808
份儿,fen4'er,10809
丰碑,feng1'bei1,10810
硅谷,gui1'gu3,10811
警戒,jing3'jie4,10812
会计师,kuai4'ji4'shi1,10813
配件,pei4'jian4,10814
收割,shou1'ge1,10815
手心,shou3'xin1,10816
校舍,xiao4'she4,10817
紫色,zi3'se4,10818
工期,gong1'qi1,10819
礼拜,li3'bai4,10820
列举,lie4'ju3,10821
放慢,fang4'man4,10822
昆曲,kun1'qu3,10823
热切,re4'qie4,10824
善后,shan4'hou4,10825
社会关系,she4'hui4'guan1'xi4,10826
统战,tong3'zhan4,10827
雅加达,ya3'jia1'da2,10828
执意,zhi2'yi4,10829
租界,zu1'jie4,10830
机车,ji1'che1,10831
瓢,piao2,10832
咱俩,zan2'lia3,10833
准是,zhun3'shi4,10834
不致,bu4'zhi4,10835
共存,gong4'cun2,10836
激进,ji1'jin4,10837
掠夺,lve4'duo2,10838
失信,shi1'xin4,10839
丝绸之路,si1'chou2'zhi1'lu4,10840
元年,yuan2'nian2,10841
关押,guan1'ya1,10842
女单,nv3'dan1,10843
偕,xie2,10844
宰相,zai3'xiang4,10845
博士后,bo2'shi4'hou4,10846
阐释,chan3'shi4,10847
除外,chu2'wai4,10848
焚烧,fen2'shao1,10849
静悄悄,jing4'qiao1'qiao1,10850
落幕,luo4'mu4,10851
双打,shuang1'da3,10852
无缘,wu2'yuan2,10853
午后,wu3'hou4,10854
行贿,xing2'hui4,10855
诱发,you4'fa1,10856
自尊心,zi4'zun1'xin1,10857
白发,bai2'fa4,10858
逼近,bi1'jin4,10859
常人,chang2'ren2,10860
地税,di4'shui4,10861
河内,he2'nei4,10862
舰艇,jian4'ting3,10863
理所当然,li3'suo3'dang1'ran2,10864
难处,nan2'chu,10865
片子,pian1'zi,10866
通讯社,tong1'xun4'she4,10867
泻,xie4,10868
报仇,bao4'chou2,10869
大抵,da4'di3,10870
分辨,fen1'bian4,10871
好意,hao3'yi4,10872
桨,jiang3,10873
年限,nian2'xian4,10874
审讯,shen3'xun4,10875
写照,xie3'zhao4,10876
心爱,xin1'ai4,10877
孕,yun4,10878
同比,tong2'bi3,10879
误差,wu4'cha1,10880
禀报,bing3'bao4,10881
沉寂,chen2'ji4,10882
喘息,chuan3'xi1,10883
浮现,fu2'xian4,10884
霉,mei2,10885
排练,pai2'lian4,10886
丧生,sang4'sheng1,10887
突围,tu1'wei2,10888
办公桌,ban4'gong1'zhuo1,10889
感触,gan3'chu4,10890
后台,hou4'tai2,10891
头颅,tou2'lu2,10892
心里话,xin1'li3'hua4,10893
信徒,xin4'tu2,10894
一连串,yi1'lian2'chuan4,10895
招手,zhao1'shou3,10896
中秋,zhong1'qiu1,10897
格式,ge2'shi,10898
教养,jiao4'yang3,10899
空地,kong4'di4,10900
美女,mei3'nv3,10901
融洽,rong2'qia4,10902
丝绸,si1'chou2,10903
晚期,wan3'qi1,10904
文盲,wen2'mang2,10905
羽毛,yu3'mao2,10906
边区,bian1'qu1,10907
不等,bu4'deng3,10908
颊,jia2,10909
竞相,jing4'xiang1,10910
可想而知,ke3'xiang3'er2'zhi1,10911
年中,nian2'zhong1,10912
皖,wan3,10913
勋章,xun1'zhang1,10914
中药材,zhong1'yao4'cai2,10915
辰,chen2,10916
过失,guo4'shi1,10917
记述,ji4'shu4,10918
叩头,kou4'tou2,10919
打捞,da3'lao1,10920
洪涝,hong2'lao4,10921
静止,jing4'zhi3,10922
考证,kao3'zheng4,10923
类别,lei4'bie2,10924
三轮车,san1'lun2'che1,10925
围剿,wei2'jiao3,10926
虚心,xu1'xin1,10927
一改,yi1'gai3,10928
助长,zhu4'zhang3,10929
辨别,bian4'bie2,10930
耻辱,chi3'ru3,10931
乏,fa2,10932
耗费,hao4'fei4,10933
疆,jiang1,10934
巨型,ju4'xing2,10935
林子,lin2'zi3,10936
埋伏,mai2'fu2,10937
票子,piao4'zi3,10938
千千万万,qian1'qian1'wan4'wan4,10939
鞘,qiao4,10940
微机,wei1'ji1,10941
辛亥革命,xin1'hai4'ge2'ming4,10942
夜空,ye4'kong1,10943
质询,zhi4'xun2,10944
国际性,guo2'ji4'xing4,10945
客流,ke4'liu2,10946
哲理,zhe2'li3,10947
专科,zhuan1'ke1,10948
字母,zi4'mu3,10949
矗立,chu4'li4,10950
考场,kao3'chang3,10951
满族,man3'zu2,10952
徒弟,tu2'di4,10953
喜闻乐见,xi3'wen2'le4'jian4,10954
笑意,xiao4'yi4,10955
左翼,zuo3'yi4,10956
完了,wan2'liao3,10957
传送,chuan2'song4,10958
公家,gong1'jia,10959
看上,kan4'shang4,10960
两口子,liang3'kou3'zi3,10961
农垦,nong2'ken3,10962
旗袍,qi2'pao2,10963
树苗,shu4'miao2,10964
星光,xing1'guang1,10965
不得了,bu4'de2'liao3,10966
衬衫,chen4'shan1,10967
高超,gao1'chao1,10968
骨髓,gu3'sui3,10969
环卫,huan2'wei4,10970
敬佩,jing4'pei4,10971
领队,ling3'dui4,10972
亡国,wang2'guo2,10973
岳,yue4,10974
半点儿,ban4'dian3'er2,10975
初一,chu1'yi1,10976
厚重,hou4'zhong4,10977
金奖,jin1'jiang3,10978
时限,shi2'xian4,10979
营救,ying2'jiu4,10980
集聚,ji2'ju4,10981
金字塔,jin1'zi4'ta3,10982
劳累,lao2'lei4,10983
邻近,lin2'jin4,10984
铺设,pu1'she4,10985
失地,shi1'di4,10986
先导,xian1'dao3,10987
定量,ding4'liang4,10988
福气,fu2'qi4,10989
还原,huan2'yuan2,10990
诗集,shi1'ji2,10991
一天到晚,yi1'tian1'dao4'wan3,10992
中将,zhong1'jiang4,10993
大头,da4'tou2,10994
反对党,fan3'dui4'dang3,10995
立志,li4'zhi4,10996
忙于,mang2'yu2,10997
炮火,pao4'huo3,10998
贪婪,tan1'lan2,10999
徐徐,xu2'xu2,11000
浏览,liu2'lan3,11001
香气,xiang1'qi4,11002
院落,yuan4'luo4,11003
遍地,bian4'di4,11004
存量,cun2'liang4,11005
独家,du2'jia1,11006
轰轰烈烈,hong1'hong1'lie4'lie4,11007
祭祀,ji4'si4,11008
鉴别,jian4'bie2,11009
破烂,po4'lan4,11010
抢占,qiang3'zhan4,11011
视频,shi4'pin2,11012
西亚,xi1'ya4,11013
虚构,xu1'gou4,11014
住户,zhu4'hu4,11015
骚扰,sao1'rao3,11016
事前,shi4'qian2,11017
复议,fu4'yi4,11018
回复,hui2'fu4,11019
集成电路,ji2'cheng2'dian4'lu4,11020
蜜,mi4,11021
牧师,mu4'shi1,11022
盆地,pen2'di4,11023
去处,qu4'chu4,11024
天使,tian1'shi3,11025
西红柿,xi1'hong2'shi4,11026
相邻,xiang1'lin2,11027
支票,zhi1'piao4,11028
鞭子,bian1'zi3,11029
穿梭,chuan1'suo1,11030
工业品,gong1'ye4'pin3,11031
工业区,gong1'ye4'qu1,11032
紧跟,jin3'gen1,11033
枯竭,ku1'jie2,11034
莲花,lian2'hua1,11035
公馆,gong1'guan3,11036
欢庆,huan1'qing4,11037
客观上,ke4'guan1'shang4,11038
内陆,nei4'lu4,11039
骗子,pian4'zi3,11040
评判,ping2'pan4,11041
破碎,po4'sui4,11042
千古,qian1'gu3,11043
切身,qie4'shen1,11044
小分队,xiao3'fen1'dui4,11045
寻觅,xun2'mi4,11046
执著,zhi2'zhuo2,11047
执着,zhi2'zhuo2,11047
专利权,zhuan1'li4'quan2,11048
遍及,bian4'ji2,11049
沉淀,chen2'dian4,11050
光滑,guang1'hua2,11051
国歌,guo2'ge1,11052
坚硬,jian1'ying4,11053
讲授,jiang3'shou4,11054
界线,jie4'xian4,11055
口音,kou3'yin1,11056
铃声,ling2'sheng1,11057
盘算,pan2'suan4,11058
时评,shi2'ping2,11059
乘势,cheng2'shi4,11060
老太爷,lao3'tai4'ye2,11061
路径,lu4'jing4,11062
受苦,shou4'ku3,11063
相貌,xiang4'mao4,11064
有病,you3'bing4,11065
自治县,zi4'zhi4'xian4,11066
走势,zou3'shi4,11067
背叛,bei4'pan4,11068
大字报,da4'zi4'bao4,11069
工序,gong1'xu4,11070
卦,gua4,11071
假装,jia3'zhuang1,11072
粮油,liang2'you2,11073
新药,xin1'yao4,11074
选购,xuan3'gou4,11075
招待所,zhao1'dai4'suo3,11076
氏族,shi4'zu2,11077
倒塌,dao3'ta1,11078
放声,fang4'sheng1,11079
付款,fu4'kuan3,11080
宫殿,gong1'dian4,11081
胡乱,hu2'luan4,11082
节制,jie2'zhi4,11083
强奸,qiang2'jian1,11084
实战,shi2'zhan4,11085
书桌,shu1'zhuo1,11086
术语,shu4'yu3,11087
音乐家,yin1'yue4'jia1,11088
瘾,yin3,11089
编剧,bian1'ju4,11091
店主,dian4'zhu3,11092
断绝,duan4'jue2,11093
叫喊,jiao4'han3,11094
举止,ju3'zhi3,11095
撵,nian3,11096
新郎,xin1'lang2,11097
再有,zai4'you3,11098
大婶儿,da4'shen3'er,11099
后继,hou4'ji4,11100
家用,jia1'yong4,11101
连续性,lian2'xu4'xing4,11102
随行,sui2'xing2,11103
索取,suo3'qu3,11104
无条件,wu2'tiao2'jian4,11105
迎合,ying2'he2,11106
作声,zuo4'sheng1,11107
做声,zuo4'sheng1,11107
奥秘,ao4'mi4,11108
电车,dian4'che1,11109
烦躁,fan2'zao4,11110
画册,hua4'ce4,11111
懒得,lan3'de,11112
水手,shui3'shou3,11113
这会儿,zhe4'hui4'er,11114
氨,an1,11115
鼻孔,bi2'kong3,11116
彩虹,cai3'hong2,11117
长廊,chang2'lang2,11118
成套,cheng2'tao4,11119
从政,cong2'zheng4,11120
面条,mian4'tiao2,11121
墓地,mu4'di4,11122
平房,ping2'fang2,11123
清洗,qing1'xi3,11124
书架,shu1'jia4,11125
松树,song1'shu4,11126
稳固,wen3'gu4,11127
遗忘,yi2'wang4,11128
多种多样,duo1'zhong3'duo1'yang4,11129
风雪,feng1'xue3,11130
经得起,jing1'de2'qi3,11131
巨变,ju4'bian4,11132
流畅,liu2'chang4,11133
上周,shang4'zhou1,11134
事变,shi4'bian4,11135
唾沫,tuo4'mo4,11136
陷于,xian4'yu2,11137
圆形,yuan2'xing2,11138
真空,zhen1'kong1,11139
指向,zhi3'xiang4,11140
主业,zhu3'ye4,11141
并肩,bing4'jian1,11142
出嫁,chu1'jia4,11143
澄,cheng2,11144
扶助,fu2'zhu4,11145
篮子,lan2'zi3,11146
犁,li2,11147
期满,qi1'man3,11148
运力,yun4'li4,11149
但见,dan4'jian4,11150
观摩,guan1'mo2,11151
讲求,jiang3'qiu2,11152
解析,jie3'xi1,11153
进修,jin4'xiu1,11154
勉励,mian3'li4,11155
叔父,shu1'fu4,11156
挑衅,tiao3'xin4,11157
王府,wang2'fu3,11158
应运而生,ying4'yun4'er2'sheng1,11159
炸药,zha4'yao4,11160
存储,cun2'chu3,11161
高地,gao1'di4,11162
各异,ge4'yi4,11163
唤醒,huan4'xing3,11164
出口额,chu1'kou3'e2,11165
蹿,cuan1,11166
电线,dian4'xian4,11167
红灯,hong2'deng1,11168
降水量,jiang4'shui3'liang4,11169
硫,liu2,11170
秘书处,mi4'shu1'chu3,11171
声势,sheng1'shi4,11172
窒息,zhi4'xi1,11173
中层,zhong1'ceng2,11174
嚓,cha1,11175
车祸,che1'huo4,11176
工艺品,gong1'yi4'pin3,11177
过往,guo4'wang3,11178
劲头,jin4'tou2,11179
拒不,ju4'bu4,11180
朗诵,lang3'song4,11181
漂流,piao1'liu2,11182
撬,qiao4,11183
舞厅,wu3'ting1,11184
息息相关,xi1'xi1'xiang1'guan1,11185
选取,xuan3'qu3,11186
严防,yan2'fang2,11187
阴暗,yin1'an4,11188
营业额,ying2'ye4'e2,11189
终结,zhong1'jie2,11190
抱歉,bao4'qian4,11191
锤,chui2,11192
钉子,ding1'zi,11193
反驳,fan3'bo2,11194
拱手,gong3'shou3,11195
老化,lao3'hua4,11196
免征,mian3'zheng1,11197
启程,qi3'cheng2,11198
甚至于,shen4'zhi4'yu2,11199
师父,shi1'fu,11200
无名,wu2'ming2,11201
凶手,xiong1'shou3,11202
转机,zhuan3'ji1,11203
赤道,chi4'dao4,11204
宾主,bin1'zhu3,11205
大吃一惊,da4'chi1'yi1'jing1,11206
聚精会神,ju4'jing1'hui4'shen2,11207
时政,shi2'zheng4,11208
娃子,wa2'zi3,11209
义不容辞,yi4'bu4'rong2'ci2,11210
音像制品,yin1'xiang4'zhi4'pin3,11211
斩首,zhan3'shou3,11212
注明,zhu4'ming2,11213
总监,zong3'jian1,11214
钻石,zuan4'shi2,11215
兵器,bing1'qi4,11216
乖乖,guai1'guai1,11217
解救,jie3'jiu4,11218
募集,mu4'ji2,11219
齐声,qi2'sheng1,11220
深信,shen1'xin4,11221
手榴弹,shou3'liu2'dan4,11222
颜,yan2,11223
质朴,zhi4'pu3,11224
厚度,hou4'du4,11225
调和,tiao2'he2,11226
心意,xin1'yi4,11227
逐一,zhu2'yi1,11228
就诊,jiu4'zhen3,11229
络,luo4,11230
落叶,luo4'ye4,11231
驱使,qu1'shi3,11232
塔吉克斯坦,ta3'ji2'ke4'si1'tan3,11233
停电,ting2'dian4,11234
无端,wu2'duan1,11235
榜,bang3,11236
池塘,chi2'tang2,11237
督察,du1'cha2,11238
辅导员,fu3'dao3'yuan2,11239
呼啸,hu1'xiao4,11240
清静,qing1'jing4,11241
爽快,shuang3'kuai4,11242
中年人,zhong1'nian2'ren2,11243
沉静,chen2'jing4,11244
简短,jian3'duan3,11245
氯,lv4,11246
免除,mian3'chu2,11247
珊瑚,shan1'hu2,11248
生计,sheng1'ji4,11249
售票,shou4'piao4,11250
合金,he2'jin1,11251
兑换,dui4'huan4,11252
固守,gu4'shou3,11253
黑影,hei1'ying3,11254
弯腰,wan1'yao1,11255
已然,yi3'ran2,11256
半截,ban4'jie2,11257
秤,cheng4,11258
耕耘,geng1'yun2,11259
男子汉,nan2'zi3'han4,11260
排水,pai2'shui3,11261
无边,wu2'bian1,11262
因果,yin1'guo3,11263
专场,zhuan1'chang3,11264
观望,guan1'wang4,11265
私自,si1'zi4,11266
参政,can1'zheng4,11267
钓,diao4,11268
和睦,he2'mu4,11270
辑,ji2,11271
匠,jiang4,11272
举足轻重,ju3'zu2'qing1'zhong4,11273
觉察,jue2'cha2,11274
呕吐,ou3'tu4,11275
升温,sheng1'wen1,11276
引水,yin3'shui3,11277
兹,zi1,11278
自如,zi4'ru2,11279
自我批评,zi4'wo3'pi1'ping2,11280
废弃,fei4'qi4,11281
分队,fen1'dui4,11282
蜂,feng1,11283
顾不上,gu4'bu4'shang4,11284
狡猾,jiao3'hua2,11285
亮丽,liang4'li4,11286
名目,ming2'mu4,11287
容器,rong2'qi4,11288
完好,wan2'hao3,11289
刑罚,xing2'fa2,11290
珍藏,zhen1'cang2,11291
公诉,gong1'su4,11293
过重,guo4'zhong4,11294
名次,ming2'ci4,11295
球场,qiu2'chang3,11296
上衣,shang4'yi1,11297
习惯于,xi2'guan4'yu2,11298
域名,yu4'ming2,11299
正直,zheng4'zhi2,11300
案情,an4'qing2,11301
动感,dong4'gan3,11302
捐资,juan1'zi1,11303
指针,zhi3'zhen1,11304
暗杀,an4'sha1,11305
不善,bu4'shan4,11306
弧,hu2,11307
军校,jun1'xiao4,11308
山羊,shan1'yang2,11309
玩耍,wan2'shua3,11310
汹涌,xiong1'yong3,11311
归根到底,gui1'gen1'dao4'di3,11312
海事,hai3'shi4,11313
好感,hao3'gan3,11314
换取,huan4'qu3,11315
就近,jiu4'jin4,11316
流感,liu2'gan3,11317
民法,min2'fa3,11318
女郎,nv3'lang2,11319
情调,qing2'diao4,11320
推理,tui1'li3,11321
等同,deng3'tong2,11322
高额,gao1'e2,11323
绘制,hui4'zhi4,11324
脑筋,nao3'jin1,11325
思想性,si1'xiang3'xing4,11326
突变,tu1'bian4,11327
王子,wang2'zi3,11328
为数,wei2'shu4,11329
宣判,xuan1'pan4,11330
延误,yan2'wu4,11331
有形,you3'xing2,11332
复活,fu4'huo2,11333
副教授,fu4'jiao4'shou4,11334
军分区,jun1'fen1'qu1,11335
搜查,sou1'cha2,11336
泄露,xie4'lou4,11337
演戏,yan3'xi4,11338
衣物,yi1'wu4,11339
勇士,yong3'shi4,11340
白菜,bai2'cai4,11341
摒弃,bing4'qi4,11342
对得起,dui4'de'qi3,11343
昏迷,hun1'mi2,11344
卡通,ka3'tong1,11345
叛徒,pan4'tu2,11346
呛,qiang1,11347
庆幸,qing4'xing4,11348
致死,zhi4'si3,11349
对岸,dui4'an4,11350
分期,fen1'qi1,11351
广义,guang3'yi4,11352
归国,gui1'guo2,11353
勘查,kan1'cha2,11354
塑,su4,11355
相辅相成,xiang1'fu3'xiang1'cheng2,11356
渲染,xuan4'ran3,11357
版面,ban3'mian4,11358
除此之外,chu2'ci3'zhi1'wai4,11359
读书人,du2'shu1'ren2,11360
雇员,gu4'yuan2,11361
庆贺,qing4'he4,11362
淘,tao2,11363
簇,cu4,11364
褐,he4,11365
击中,ji1'zhong1,11366
精辟,jing1'pi4,11367
良知,liang2'zhi1,11368
评委,ping2'wei3,11369
乳房,ru3'fang2,11370
胜任,sheng4'ren4,11371
丸,wan2,11372
限定,xian4'ding4,11373
作证,zuo4'zheng4,11374
分泌,fen1'mi4,11375
闭幕式,bi4'mu4'shi4,11376
毫,hao2,11377
喝彩,he4'cai3,11378
开张,kai1'zhang1,11379
试管,shi4'guan3,11380
艺术性,yi4'shu4'xing4,11381
引渡,yin3'du4,11382
